player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk,season,league_name,league_id,team_name,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,xg_90,xag_90,xg+xag,npxg_90,npxg+xag_90,team_id
Fábio,br BRA,GK,,36.0,36.0,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Everton Ribeiro,br BRA,"FW,MF",,31.0,30.0,2581.0,28.7,6.0,9.0,15.0,5.0,1.0,1.0,4.0,0.0,0.21,0.31,0.52,0.17,0.49,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Egídio Pereira Júnior,br BRA,DF,,31.0,30.0,2543.0,28.3,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.04,0.11,0.14,0.04,0.14,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Léo,br BRA,DF,,29.0,29.0,2610.0,29.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Marcelo Martins Moreno,bo BOL,FW,,32.0,29.0,2498.0,27.8,15.0,3.0,18.0,14.0,1.0,1.0,0.0,1.0,0.54,0.11,0.65,0.5,0.61,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Henrique Pacheco Lima,br BRA,MF,,30.0,28.0,2348.0,26.1,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.04,0.04,0.0,0.04,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Mayke,br BRA,"DF,MF",,30.0,25.0,2376.0,26.4,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.23,0.23,0.0,0.23,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Ricardo Goulart,br BRA,"FW,MF",,26.0,25.0,2227.0,24.7,15.0,2.0,17.0,15.0,0.0,0.0,4.0,0.0,0.61,0.08,0.69,0.61,0.69,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Lucas Silva,br BRA,MF,,27.0,25.0,2006.0,22.3,1.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,0.04,0.04,0.09,0.0,0.04,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
Dedé,br BRA,DF,,21.0,21.0,1845.0,20.5,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.1,0.1,0.2,0.1,0.2,2014,brasileirao,24,Cruzeiro,,,,,,,,,,,,,pnPoeRFJfcru
