rk,squad,mp,w,d,l,gf,ga,gd,pts,attendance,season,league_name,league_id,xg,xga,xgd,xgd/90,last 5,team_id
1,Cruzeiro,38,24,8,6,67,38,29,80,29678.0,2014,brasileirao,24,,,,,,pnPoeRFJfcru
2,São Paulo,38,20,10,8,59,40,19,70,28544.0,2014,brasileirao,24,,,,,,ha9Y83MKzsao
3,Internacional,38,21,6,11,53,41,12,69,22318.0,2014,brasileirao,24,,,,,,jSlOtVbffint
4,Corinthians,38,19,12,7,49,31,18,69,29013.0,2014,brasileirao,24,,,,,,RWQ_y-l4Tcor
5,Atlético Mineiro,38,17,11,10,51,38,13,62,14132.0,2014,brasileirao,24,,,,,,fQ7mMg-4batl
6,Fluminense,38,17,10,11,61,42,19,61,21272.0,2014,brasileirao,24,,,,,,-CjxHDescflu
7,Grêmio,38,17,10,11,36,24,12,61,21028.0,2014,brasileirao,24,,,,,,0R7eCxRBKgre
8,Ath Paranaense,38,15,9,14,43,42,1,54,12237.0,2014,brasileirao,24,,,,,,zyNlc89G7ath
9,Santos,38,15,8,15,42,35,7,53,9243.0,2014,brasileirao,24,,,,,,DfKzGEYvWsan
10,Flamengo,38,14,10,14,46,47,-1,52,30519.0,2014,brasileirao,24,,,,,,1Y1zbHqWffla
11,Sport Recife,38,14,10,14,36,46,-10,52,18220.0,2014,brasileirao,24,,,,,,YUiGRsJ8cspo
12,Goiás,38,13,8,17,38,40,-2,47,6958.0,2014,brasileirao,24,,,,,,zNWwmgc57goi
13,Figueirense,38,13,8,17,37,47,-10,47,8378.0,2014,brasileirao,24,,,,,,I3vlMoHLBfig
14,Coritiba,38,12,11,15,42,45,-3,47,11865.0,2014,brasileirao,24,,,,,,-h1YOO8kscor
15,Chapecoense,38,11,10,17,39,44,-5,43,9994.0,2014,brasileirao,24,,,,,,8QSw-inLOcha
16,Palmeiras,38,11,7,20,34,59,-25,40,19755.0,2014,brasileirao,24,,,,,,KsQpbQduTpal
17,Vitória,38,10,8,20,37,54,-17,38,10267.0,2014,brasileirao,24,,,,,,pfPPHBj5Fvit
18,Bahia,38,9,10,19,31,43,-12,37,12579.0,2014,brasileirao,24,,,,,,YzTe5SUkSbah
19,Botafogo (RJ),38,9,7,22,31,48,-17,34,12483.0,2014,brasileirao,24,,,,,,KyC2yE-rlbot
20,Criciúma,38,7,11,20,28,56,-28,32,9104.0,2014,brasileirao,24,,,,,,m4wmsWRBZcri
1,Corinthians,38,24,9,5,71,31,40,81,34150.0,2015,brasileirao,24,,,,,,RWQ_y-l4Tcor
2,Atlético Mineiro,38,21,6,11,65,47,18,69,23632.0,2015,brasileirao,24,,,,,,fQ7mMg-4batl
3,Grêmio,38,20,8,10,52,32,20,68,26092.0,2015,brasileirao,24,,,,,,0R7eCxRBKgre
4,São Paulo,38,18,8,12,53,47,6,62,21361.0,2015,brasileirao,24,,,,,,ha9Y83MKzsao
5,Internacional,38,17,9,12,39,38,1,60,19910.0,2015,brasileirao,24,,,,,,jSlOtVbffint
6,Sport Recife,38,15,14,9,53,38,15,59,16237.0,2015,brasileirao,24,,,,,,YUiGRsJ8cspo
7,Santos,38,16,10,12,59,41,18,58,8744.0,2015,brasileirao,24,,,,,,DfKzGEYvWsan
8,Cruzeiro,38,15,10,13,44,35,9,55,21728.0,2015,brasileirao,24,,,,,,pnPoeRFJfcru
9,Palmeiras,38,15,8,15,60,51,9,53,29586.0,2015,brasileirao,24,,,,,,KsQpbQduTpal
10,Ath Paranaense,38,14,9,15,43,48,-5,51,16675.0,2015,brasileirao,24,,,,,,zyNlc89G7ath
11,Ponte Preta,38,13,12,13,41,40,1,51,6251.0,2015,brasileirao,24,,,,,,IXrX5AIu0pon
12,Flamengo,38,15,4,19,45,53,-8,49,34436.0,2015,brasileirao,24,,,,,,1Y1zbHqWffla
13,Fluminense,38,14,5,19,40,49,-9,47,19029.0,2015,brasileirao,24,,,,,,-CjxHDescflu
14,Chapecoense,38,12,11,15,34,44,-10,47,9055.0,2015,brasileirao,24,,,,,,8QSw-inLOcha
15,Coritiba,38,11,11,16,31,42,-11,44,13427.0,2015,brasileirao,24,,,,,,-h1YOO8kscor
16,Figueirense,38,11,10,17,36,50,-14,43,8746.0,2015,brasileirao,24,,,,,,I3vlMoHLBfig
17,Avaí,38,11,9,18,38,60,-22,42,8492.0,2015,brasileirao,24,,,,,,vSGmxgB-rava
18,Vasco da Gama,38,10,11,17,28,54,-26,41,14623.0,2015,brasileirao,24,,,,,,_R5cUPcDPvas
19,Goiás,38,10,8,20,39,49,-10,38,7969.0,2015,brasileirao,24,,,,,,zNWwmgc57goi
20,Joinville,38,7,10,21,26,48,-22,31,9366.0,2015,brasileirao,24,,,,,,JXolxUSfhjoi
1,Palmeiras,38,24,8,6,62,32,30,80,32467.0,2016,brasileirao,24,,,,,,KsQpbQduTpal
2,Santos,38,22,5,11,59,35,24,71,11809.0,2016,brasileirao,24,,,,,,DfKzGEYvWsan
3,Flamengo,38,20,11,7,52,35,17,71,26424.0,2016,brasileirao,24,,,,,,1Y1zbHqWffla
4,Atlético Mineiro,37,17,11,9,61,50,11,62,19231.0,2016,brasileirao,24,,,,,,fQ7mMg-4batl
5,Botafogo (RJ),38,17,8,13,43,39,4,59,7929.0,2016,brasileirao,24,,,,,,KyC2yE-rlbot
6,Ath Paranaense,38,17,6,15,38,32,6,57,14926.0,2016,brasileirao,24,,,,,,zyNlc89G7ath
7,Corinthians,38,15,10,13,48,42,6,55,28820.0,2016,brasileirao,24,,,,,,RWQ_y-l4Tcor
8,Grêmio,38,14,11,13,41,44,-3,53,20448.0,2016,brasileirao,24,,,,,,0R7eCxRBKgre
9,Ponte Preta,38,15,8,15,48,52,-4,53,5702.0,2016,brasileirao,24,,,,,,IXrX5AIu0pon
10,São Paulo,38,14,10,14,44,36,8,52,22553.0,2016,brasileirao,24,,,,,,ha9Y83MKzsao
11,Chapecoense,37,13,13,11,49,53,-4,52,7211.0,2016,brasileirao,24,,,,,,8QSw-inLOcha
12,Cruzeiro,38,14,9,15,48,49,-1,51,21085.0,2016,brasileirao,24,,,,,,pnPoeRFJfcru
13,Fluminense,38,13,11,14,45,45,0,50,10241.0,2016,brasileirao,24,,,,,,-CjxHDescflu
14,Sport Recife,38,13,8,17,49,55,-6,47,15706.0,2016,brasileirao,24,,,,,,YUiGRsJ8cspo
15,Coritiba,38,11,13,14,41,42,-1,46,9894.0,2016,brasileirao,24,,,,,,-h1YOO8kscor
16,Vitória,38,12,9,17,51,53,-2,45,13997.0,2016,brasileirao,24,,,,,,pfPPHBj5Fvit
17,Internacional,38,11,10,17,35,41,-6,43,25838.0,2016,brasileirao,24,,,,,,jSlOtVbffint
18,Figueirense,38,8,13,17,30,50,-20,37,6628.0,2016,brasileirao,24,,,,,,I3vlMoHLBfig
19,Santa Cruz,38,8,7,23,45,69,-24,31,9856.0,2016,brasileirao,24,,,,,,NBa2yeSwgsan
20,América (MG),38,7,7,24,23,58,-35,28,4301.0,2016,brasileirao,24,,,,,,2U6wVG_HHame
1,Corinthians,38,21,9,8,50,30,20,72,38052.0,2017,brasileirao,24,,,,,,RWQ_y-l4Tcor
2,Palmeiras,38,19,6,13,61,45,16,63,28520.0,2017,brasileirao,24,,,,,,KsQpbQduTpal
3,Santos,38,17,12,9,42,32,10,63,12304.0,2017,brasileirao,24,,,,,,DfKzGEYvWsan
4,Grêmio,38,18,8,12,55,36,19,62,19921.0,2017,brasileirao,24,,,,,,0R7eCxRBKgre
5,Cruzeiro,38,15,12,11,47,39,8,57,17369.0,2017,brasileirao,24,,,,,,pnPoeRFJfcru
6,Flamengo,38,15,11,12,49,38,11,56,16486.0,2017,brasileirao,24,,,,,,1Y1zbHqWffla
7,Vasco da Gama,38,15,11,12,40,47,-7,56,13994.0,2017,brasileirao,24,,,,,,_R5cUPcDPvas
8,Chapecoense,38,15,9,14,47,49,-2,54,10188.0,2017,brasileirao,24,,,,,,8QSw-inLOcha
9,Atlético Mineiro,38,14,12,12,52,49,3,54,15850.0,2017,brasileirao,24,,,,,,fQ7mMg-4batl
10,Botafogo (RJ),38,14,11,13,45,42,3,53,11661.0,2017,brasileirao,24,,,,,,KyC2yE-rlbot
11,Ath Paranaense,38,14,9,15,45,43,2,51,13856.0,2017,brasileirao,24,,,,,,zyNlc89G7ath
12,Bahia,38,13,11,14,50,48,2,50,21541.0,2017,brasileirao,24,,,,,,YzTe5SUkSbah
13,São Paulo,38,13,11,14,48,49,-1,50,35880.0,2017,brasileirao,24,,,,,,ha9Y83MKzsao
14,Fluminense,38,11,14,13,50,53,-3,47,16253.0,2017,brasileirao,24,,,,,,-CjxHDescflu
