player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls.1,ast.1,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,matches_90,team_name,season,team_id
Willian Arão,br BRA,MF,26.0,35.0,33.0,2937.0,32.6,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,3.4,3.4,2.1,5.5,19.0,235.0,52.0,0.06,0.15,0.21,0.06,0.21,0.1,0.06,0.17,0.1,0.17,Matches,flamengo,2019,1Y1zbHqWffla
Diego Alves,br BRA,GK,33.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,flamengo,2019,1Y1zbHqWffla
Bruno Henrique,br BRA,"FW,MF",28.0,33.0,29.0,2570.0,28.6,21.0,3.0,24.0,21.0,0.0,1.0,9.0,0.0,20.3,19.3,5.9,25.2,95.0,60.0,304.0,0.74,0.11,0.84,0.74,0.84,0.71,0.21,0.92,0.68,0.88,Matches,flamengo,2019,1Y1zbHqWffla
Gabriel Barbosa,br BRA,FW,22.0,29.0,29.0,2537.0,28.2,25.0,9.0,34.0,20.0,5.0,5.0,13.0,1.0,23.2,19.6,6.3,25.9,91.0,86.0,233.0,0.89,0.32,1.21,0.71,1.03,0.82,0.22,1.05,0.7,0.92,Matches,flamengo,2019,1Y1zbHqWffla
Rodrigo Caio,br BRA,DF,25.0,29.0,28.0,2418.0,26.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.3,2.2,0.6,2.9,27.0,91.0,3.0,0.07,0.0,0.07,0.07,0.07,0.08,0.02,0.11,0.08,0.11,Matches,flamengo,2019,1Y1zbHqWffla
Everton Ribeiro,br BRA,"MF,FW",29.0,32.0,27.0,2454.0,27.3,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,3.1,3.1,10.7,13.8,156.0,250.0,265.0,0.07,0.26,0.33,0.07,0.33,0.12,0.39,0.51,0.12,0.51,Matches,flamengo,2019,1Y1zbHqWffla
Gerson,br BRA,MF,21.0,27.0,23.0,1999.0,22.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,2.7,4.2,56.0,164.0,87.0,0.09,0.14,0.23,0.09,0.23,0.07,0.12,0.19,0.07,0.19,Matches,flamengo,2019,1Y1zbHqWffla
Pablo Marí,es ESP,DF,25.0,22.0,22.0,1980.0,22.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.5,1.5,0.7,2.2,15.0,128.0,5.0,0.09,0.05,0.14,0.09,0.14,0.07,0.03,0.1,0.07,0.1,Matches,flamengo,2019,1Y1zbHqWffla
Giorgian De Arrascaeta,uy URU,"MF,FW",24.0,23.0,22.0,1814.0,20.2,13.0,14.0,27.0,12.0,1.0,1.0,1.0,0.0,7.7,6.9,11.8,18.7,74.0,163.0,175.0,0.64,0.69,1.34,0.6,1.29,0.38,0.59,0.97,0.34,0.93,Matches,flamengo,2019,1Y1zbHqWffla
Renê,br BRA,DF,26.0,23.0,18.0,1701.0,18.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,2.0,2.2,34.0,153.0,120.0,0.0,0.11,0.11,0.0,0.11,0.01,0.11,0.12,0.01,0.12,Matches,flamengo,2019,1Y1zbHqWffla
