player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,gls.1,ast.1,g+a.1,g-pk.1,g+a-pk,matches,team_name,season,team_id
Júlio César,br BRA,GK,34.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Uillian Correia,br BRA,MF,29.0,34,34,2901.0,32.2,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,bragantino,2019,tApdq2ZJfbra
Claudinho,br BRA,MF,22.0,34,32,2844.0,31.6,9.0,11.0,20.0,8.0,1.0,1.0,3.0,0.0,0.28,0.35,0.63,0.25,0.6,Matches,bragantino,2019,tApdq2ZJfbra
Ligger,br BRA,DF,30.0,30,30,2641.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Aderlan Silva,br BRA,DF,28.0,30,30,2640.0,29.3,1.0,7.0,8.0,1.0,0.0,0.0,11.0,0.0,0.03,0.24,0.27,0.03,0.27,Matches,bragantino,2019,tApdq2ZJfbra
Leo Ortiz,br BRA,DF,23.0,30,29,2519.0,28.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,bragantino,2019,tApdq2ZJfbra
Ytalo,br BRA,"MF,FW",31.0,30,28,2453.0,27.3,13.0,2.0,15.0,12.0,1.0,2.0,2.0,0.0,0.48,0.07,0.55,0.44,0.51,Matches,bragantino,2019,tApdq2ZJfbra
Barreto,br BRA,MF,23.0,27,26,2201.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019,tApdq2ZJfbra
Wesley Pionteck Souza,br BRA,MF,22.0,32,24,2091.0,23.2,5.0,2.0,7.0,5.0,0.0,0.0,1.0,1.0,0.22,0.09,0.3,0.22,0.3,Matches,bragantino,2019,tApdq2ZJfbra
Edimar Fraga,br BRA,DF,32.0,23,22,1993.0,22.1,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,0.14,0.05,0.18,0.09,0.14,Matches,bragantino,2019,tApdq2ZJfbra
Rafael Carioca,br BRA,DF,26.0,17,16,1418.0,15.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.25,0.25,0.0,0.25,Matches,bragantino,2019,tApdq2ZJfbra
