player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls.1,ast.1,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,matches_90,team_name,season,team_id
Manuel Neuer,de GER,GK,33.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Joshua Kimmich,de GER,"MF,DF",24.0,33,32,2818.0,31.3,4.0,7.0,11.0,4.0,0.0,0.0,7.0,0.0,1.2,1.2,8.3,9.5,57.0,310.0,106.0,0.13,0.22,0.35,0.13,0.35,0.04,0.27,0.3,0.04,0.3,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Benjamin Pavard,fr FRA,DF,23.0,32,31,2790.0,31.0,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,2.0,2.0,3.3,5.3,70.0,224.0,145.0,0.13,0.13,0.26,0.13,0.26,0.06,0.11,0.17,0.06,0.17,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Robert Lewandowski,pl POL,FW,30.0,31,31,2759.0,30.7,34.0,4.0,38.0,29.0,5.0,5.0,5.0,0.0,30.7,26.8,6.6,33.5,70.0,91.0,245.0,1.11,0.13,1.24,0.95,1.08,1.0,0.22,1.22,0.87,1.09,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
David Alaba,at AUT,DF,27.0,28,27,2498.0,27.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.4,3.3,69.0,285.0,42.0,0.04,0.04,0.07,0.04,0.07,0.03,0.08,0.12,0.03,0.12,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Thomas Müller,de GER,"MF,FW",29.0,33,26,2255.0,25.1,8.0,21.0,29.0,8.0,0.0,0.0,5.0,0.0,8.7,8.7,14.8,23.5,75.0,164.0,308.0,0.32,0.84,1.16,0.32,1.16,0.35,0.59,0.94,0.35,0.94,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Serge Gnabry,de GER,"FW,MF",24.0,31,26,2193.0,24.4,12.0,10.0,22.0,12.0,0.0,0.0,0.0,0.0,13.1,13.1,12.1,25.2,118.0,92.0,337.0,0.49,0.41,0.9,0.49,0.9,0.54,0.5,1.03,0.54,1.03,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Alphonso Davies,ca CAN,DF,18.0,29,24,2234.0,24.8,3.0,5.0,8.0,3.0,0.0,0.0,4.0,1.0,2.3,2.3,4.3,6.6,121.0,135.0,191.0,0.12,0.2,0.32,0.12,0.32,0.09,0.17,0.27,0.09,0.27,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Jérôme Boateng,de GER,DF,30.0,24,23,1796.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,1.7,1.9,6.0,128.0,4.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.1,0.01,0.1,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Thiago Alcántara,es ESP,MF,28.0,24,20,1771.0,19.7,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,2.4,2.4,0.9,3.3,27.0,230.0,43.0,0.15,0.0,0.15,0.15,0.15,0.12,0.05,0.17,0.12,0.17,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Leon Goretzka,de GER,MF,24.0,24,17,1512.0,16.8,6.0,5.0,11.0,6.0,0.0,0.0,2.0,0.0,5.5,5.5,2.9,8.5,29.0,110.0,63.0,0.36,0.3,0.65,0.36,0.65,0.33,0.18,0.5,0.33,0.5,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Kingsley Coman,fr FRA,"FW,MF",23.0,24,17,1505.0,16.7,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,4.7,4.7,4.8,9.4,113.0,75.0,329.0,0.24,0.18,0.42,0.24,0.42,0.28,0.29,0.56,0.28,0.56,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Philippe Coutinho,br BRA,"MF,FW",27.0,23,15,1411.0,15.7,8.0,6.0,14.0,7.0,1.0,1.0,0.0,0.0,8.6,7.8,4.0,11.8,57.0,151.0,128.0,0.51,0.38,0.89,0.45,0.83,0.55,0.25,0.8,0.5,0.75,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Ivan Perišić,hr CRO,"FW,MF",30.0,22,11,1206.0,13.4,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,4.1,4.1,3.0,7.1,55.0,49.0,191.0,0.3,0.22,0.52,0.3,0.52,0.31,0.22,0.53,0.31,0.53,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Lucas Hernández,fr FRA,DF,23.0,19,10,920.0,10.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.1,1.5,17.0,44.0,26.0,0.0,0.1,0.1,0.0,0.1,0.04,0.11,0.15,0.04,0.15,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
Niklas Süle,de GER,DF,23.0,8,8,641.0,7.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.1,5.0,34.0,0.0,0.0,0.14,0.14,0.0,0.14,0.08,0.08,0.16,0.08,0.16,Matches,bayern_munich,2019-2020,o90Ob9Wkgbay
