season,player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk,league_name,league_id,team_name,team_id,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,xg_90,xag_90,xg+xag,npxg_90,npxg+xag_90
2014-2015,Manuel Neuer,de GER,GK,28.0,32.0,31.0,2867.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Juan Bernat,es ESP,"DF,FW",21.0,31.0,28.0,2556.0,28.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.04,0.04,0.04,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Robert Lewandowski,pl POL,FW,25.0,31.0,28.0,2480.0,27.6,17.0,5.0,22.0,16.0,1.0,1.0,0.0,0.0,0.62,0.18,0.8,0.58,0.76,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Thomas Müller,de GER,"FW,MF",24.0,32.0,28.0,2364.0,26.3,13.0,10.0,23.0,10.0,3.0,3.0,1.0,0.0,0.49,0.38,0.88,0.38,0.76,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Mario Götze,de GER,"FW,MF",22.0,32.0,28.0,2239.0,24.9,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,0.36,0.08,0.44,0.36,0.44,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Jérôme Boateng,de GER,DF,25.0,27.0,25.0,2136.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Rafinha,br BRA,DF,28.0,26.0,24.0,2138.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Xabi Alonso,es ESP,MF,32.0,26.0,24.0,1963.0,21.8,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.09,0.14,0.23,0.09,0.23,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Dante,br BRA,DF,30.0,27.0,21.0,2001.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Arjen Robben,nl NED,"FW,MF",30.0,21.0,20.0,1673.0,18.6,17.0,7.0,24.0,15.0,2.0,2.0,0.0,0.0,0.91,0.38,1.29,0.81,1.18,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,David Alaba,at AUT,"DF,MF",22.0,19.0,19.0,1665.0,18.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.11,0.05,0.16,0.11,0.16,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
2014-2015,Philipp Lahm,de GER,"DF,MF",30.0,20.0,17.0,1404.0,15.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.13,0.13,0.26,0.13,0.26,bundesliga,20,bayern_munich,054efa67,,,,,,,,,,,,
