season,rk,squad,mp,w,d,l,gf,ga,gd,pts,attendance,league_name,league_id,xg,xga,xgd,xgd/90,last 5
2014-2015,1.0,Barcelona,38.0,30.0,4.0,4.0,110.0,21.0,89.0,94.0,77632.0,la_liga,12,,,,,
2014-2015,2.0,Real Madrid,38.0,30.0,2.0,6.0,118.0,38.0,80.0,92.0,73918.0,la_liga,12,,,,,
2014-2015,3.0,Atlético Madrid,38.0,23.0,9.0,6.0,67.0,29.0,38.0,78.0,46532.0,la_liga,12,,,,,
2014-2015,4.0,Valencia,38.0,22.0,11.0,5.0,70.0,32.0,38.0,77.0,44239.0,la_liga,12,,,,,
2014-2015,5.0,Sevilla,38.0,23.0,7.0,8.0,71.0,45.0,26.0,76.0,30874.0,la_liga,12,,,,,
2014-2015,6.0,Villarreal,38.0,16.0,12.0,10.0,48.0,37.0,11.0,60.0,15660.0,la_liga,12,,,,,
2014-2015,7.0,Athletic Club,38.0,15.0,10.0,13.0,42.0,41.0,1.0,55.0,41137.0,la_liga,12,,,,,
2014-2015,8.0,Celta Vigo,38.0,13.0,12.0,13.0,47.0,44.0,3.0,51.0,19063.0,la_liga,12,,,,,
2014-2015,9.0,Málaga,38.0,14.0,8.0,16.0,42.0,48.0,-6.0,50.0,22055.0,la_liga,12,,,,,
2014-2015,10.0,Espanyol,38.0,13.0,10.0,15.0,47.0,51.0,-4.0,49.0,18817.0,la_liga,12,,,,,
2014-2015,11.0,Rayo Vallecano,38.0,15.0,4.0,19.0,46.0,68.0,-22.0,49.0,10636.0,la_liga,12,,,,,
2014-2015,12.0,Real Sociedad,38.0,11.0,13.0,14.0,44.0,51.0,-7.0,46.0,21867.0,la_liga,12,,,,,
2014-2015,13.0,Elche,38.0,11.0,8.0,19.0,35.0,62.0,-27.0,41.0,21688.0,la_liga,12,,,,,
2014-2015,14.0,Levante,38.0,9.0,10.0,19.0,34.0,67.0,-33.0,37.0,15866.0,la_liga,12,,,,,
2014-2015,15.0,Getafe,38.0,10.0,7.0,21.0,33.0,64.0,-31.0,37.0,7293.0,la_liga,12,,,,,
2014-2015,16.0,La Coruña,38.0,7.0,14.0,17.0,35.0,60.0,-25.0,35.0,21159.0,la_liga,12,,,,,
2014-2015,17.0,Granada,38.0,7.0,14.0,17.0,29.0,64.0,-35.0,35.0,16733.0,la_liga,12,,,,,
2014-2015,18.0,Eibar,38.0,9.0,8.0,21.0,34.0,55.0,-21.0,35.0,21688.0,la_liga,12,,,,,
2014-2015,19.0,Almería,38.0,8.0,8.0,22.0,35.0,64.0,-29.0,29.0,10486.0,la_liga,12,,,,,
2014-2015,20.0,Córdoba,38.0,3.0,11.0,24.0,22.0,68.0,-46.0,20.0,16322.0,la_liga,12,,,,,
2015-2016,1.0,Barcelona,38.0,29.0,4.0,5.0,112.0,29.0,83.0,91.0,74655.0,la_liga,12,,,,,
2015-2016,2.0,Real Madrid,38.0,28.0,6.0,4.0,110.0,34.0,76.0,90.0,71265.0,la_liga,12,,,,,
2015-2016,3.0,Atlético Madrid,38.0,28.0,4.0,6.0,63.0,18.0,45.0,88.0,46902.0,la_liga,12,,,,,
2015-2016,4.0,Villarreal,38.0,18.0,10.0,10.0,44.0,35.0,9.0,64.0,17660.0,la_liga,12,,,,,
2015-2016,5.0,Athletic Club,38.0,18.0,8.0,12.0,58.0,45.0,13.0,62.0,41917.0,la_liga,12,,,,,
2015-2016,6.0,Celta Vigo,38.0,17.0,9.0,12.0,51.0,59.0,-8.0,60.0,18382.0,la_liga,12,,,,,
2015-2016,7.0,Sevilla,38.0,14.0,10.0,14.0,51.0,50.0,1.0,52.0,33134.0,la_liga,12,,,,,
2015-2016,8.0,Málaga,38.0,12.0,12.0,14.0,38.0,35.0,3.0,48.0,21401.0,la_liga,12,,,,,
2015-2016,9.0,Real Sociedad,38.0,13.0,9.0,16.0,45.0,48.0,-3.0,48.0,20603.0,la_liga,12,,,,,
2015-2016,10.0,Betis,38.0,11.0,12.0,15.0,34.0,52.0,-18.0,45.0,37832.0,la_liga,12,,,,,
2015-2016,11.0,Las Palmas,38.0,12.0,8.0,18.0,45.0,53.0,-8.0,44.0,21302.0,la_liga,12,,,,,
2015-2016,12.0,Valencia,38.0,11.0,11.0,16.0,46.0,48.0,-2.0,44.0,37544.0,la_liga,12,,,,,
2015-2016,13.0,Espanyol,38.0,12.0,7.0,19.0,40.0,74.0,-34.0,43.0,21595.0,la_liga,12,,,,,
2015-2016,14.0,Eibar,38.0,11.0,10.0,17.0,49.0,61.0,-12.0,43.0,5215.0,la_liga,12,,,,,
2015-2016,15.0,La Coruña,38.0,8.0,18.0,12.0,45.0,61.0,-16.0,42.0,23797.0,la_liga,12,,,,,
2015-2016,16.0,Granada,38.0,10.0,9.0,19.0,46.0,69.0,-23.0,39.0,16400.0,la_liga,12,,,,,
2015-2016,17.0,Sporting Gijón,38.0,10.0,9.0,19.0,40.0,62.0,-22.0,39.0,23559.0,la_liga,12,,,,,
2015-2016,18.0,Rayo Vallecano,38.0,9.0,11.0,18.0,52.0,73.0,-21.0,38.0,11665.0,la_liga,12,,,,,
2015-2016,19.0,Getafe,38.0,9.0,9.0,20.0,37.0,67.0,-30.0,36.0,7498.0,la_liga,12,,,,,
2015-2016,20.0,Levante,38.0,8.0,8.0,22.0,37.0,70.0,-33.0,32.0,14661.0,la_liga,12,,,,,
2016-2017,1.0,Real Madrid,38.0,29.0,6.0,3.0,106.0,41.0,65.0,93.0,71977.0,la_liga,12,,,,,
2016-2017,2.0,Barcelona,38.0,28.0,6.0,4.0,116.0,37.0,79.0,90.0,78678.0,la_liga,12,,,,,
2016-2017,3.0,Atlético Madrid,38.0,23.0,9.0,6.0,70.0,27.0,43.0,78.0,44737.0,la_liga,12,,,,,
2016-2017,4.0,Sevilla,38.0,21.0,9.0,8.0,69.0,49.0,20.0,72.0,32783.0,la_liga,12,,,,,
2016-2017,5.0,Villarreal,38.0,19.0,10.0,9.0,56.0,33.0,23.0,67.0,17870.0,la_liga,12,,,,,
