player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls.1,ast.1,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,matches_90,team_name,season,team_id
Karim Benzema,fr FRA,FW,31.0,37,36,3141.0,34.9,21.0,8.0,29.0,16.0,5.0,5.0,0.0,0.0,20.3,16.3,7.6,23.9,110.0,173.0,270.0,0.6,0.23,0.83,0.46,0.69,0.58,0.22,0.8,0.47,0.69,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Casemiro,br BRA,MF,27.0,35,35,3088.0,34.3,4.0,3.0,7.0,4.0,0.0,0.0,12.0,0.0,4.2,4.2,1.5,5.7,16.0,201.0,26.0,0.12,0.09,0.2,0.12,0.2,0.12,0.04,0.17,0.12,0.17,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Sergio Ramos,es ESP,DF,33.0,35,35,3013.0,33.5,11.0,0.0,11.0,5.0,6.0,6.0,10.0,0.0,10.2,5.4,0.6,6.0,21.0,166.0,7.0,0.33,0.0,0.33,0.15,0.15,0.3,0.02,0.32,0.16,0.18,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Thibaut Courtois,be BEL,GK,27.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Raphaël Varane,fr FRA,DF,26.0,32,32,2822.0,31.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,1.5,7.0,68.0,3.0,0.06,0.03,0.1,0.06,0.1,0.03,0.02,0.05,0.03,0.05,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Dani Carvajal,es ESP,DF,27.0,31,31,2738.0,30.4,1.0,5.0,6.0,1.0,0.0,0.0,11.0,0.0,2.6,2.6,4.9,7.5,91.0,182.0,195.0,0.03,0.16,0.2,0.03,0.2,0.09,0.16,0.25,0.09,0.25,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Toni Kroos,de GER,MF,29.0,35,31,2652.0,29.5,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,3.3,3.3,5.1,8.4,61.0,298.0,73.0,0.14,0.17,0.31,0.14,0.31,0.11,0.17,0.29,0.11,0.29,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Luka Modrić,hr CRO,MF,33.0,31,22,1996.0,22.2,3.0,7.0,10.0,3.0,0.0,0.0,7.0,1.0,1.5,1.5,3.3,4.9,64.0,183.0,83.0,0.14,0.32,0.45,0.14,0.45,0.07,0.15,0.22,0.07,0.22,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Federico Valverde,uy URU,MF,21.0,33,21,1907.0,21.2,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,3.3,5.3,41.0,112.0,69.0,0.09,0.24,0.33,0.09,0.33,0.09,0.16,0.25,0.09,0.25,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Ferland Mendy,fr FRA,DF,24.0,25,19,1809.0,20.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,0.6,0.6,2.4,3.0,69.0,64.0,131.0,0.05,0.15,0.2,0.05,0.2,0.03,0.12,0.15,0.03,0.15,Matches,real_madrid,2019-2020,PBc1zpHZBrea
Marcelo,br BRA,DF,31.0,15,15,1296.0,14.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,1.9,2.5,45.0,112.0,123.0,0.07,0.14,0.21,0.07,0.21,0.04,0.13,0.17,0.04,0.17,Matches,real_madrid,2019-2020,PBc1zpHZBrea
