season,rk,squad,mp,w,d,l,gf,ga,gd,pts,attendance,league_name,league_id,xg,xga,xgd,xgd/90,last 5
2014-2015,1.0,Paris S-G,38.0,24.0,11.0,3.0,83.0,36.0,47.0,83.0,45789.0,ligue_1,13,,,,,
2014-2015,2.0,Lyon,38.0,22.0,9.0,7.0,72.0,33.0,39.0,75.0,34949.0,ligue_1,13,,,,,
2014-2015,3.0,Monaco,38.0,20.0,11.0,7.0,51.0,26.0,25.0,71.0,7820.0,ligue_1,13,,,,,
2014-2015,4.0,Marseille,38.0,21.0,6.0,11.0,76.0,42.0,34.0,69.0,53130.0,ligue_1,13,,,,,
2014-2015,5.0,Saint-Étienne,38.0,19.0,12.0,7.0,51.0,30.0,21.0,69.0,32256.0,ligue_1,13,,,,,
2014-2015,6.0,Bordeaux,38.0,17.0,12.0,9.0,47.0,44.0,3.0,63.0,23463.0,ligue_1,13,,,,,
2014-2015,7.0,Montpellier,38.0,16.0,8.0,14.0,46.0,39.0,7.0,56.0,12860.0,ligue_1,13,,,,,
2014-2015,8.0,Lille,38.0,16.0,8.0,14.0,43.0,42.0,1.0,56.0,36552.0,ligue_1,13,,,,,
2014-2015,9.0,Rennes,38.0,13.0,11.0,14.0,35.0,42.0,-7.0,50.0,20125.0,ligue_1,13,,,,,
2014-2015,10.0,Guingamp,38.0,15.0,4.0,19.0,41.0,55.0,-14.0,49.0,14848.0,ligue_1,13,,,,,
2014-2015,11.0,Nice,38.0,13.0,9.0,16.0,44.0,53.0,-9.0,48.0,18293.0,ligue_1,13,,,,,
2014-2015,12.0,Bastia,38.0,12.0,11.0,15.0,37.0,46.0,-9.0,47.0,12129.0,ligue_1,13,,,,,
2014-2015,13.0,Caen,38.0,12.0,10.0,16.0,54.0,55.0,-1.0,46.0,16991.0,ligue_1,13,,,,,
2014-2015,14.0,Nantes,38.0,11.0,12.0,15.0,29.0,40.0,-11.0,45.0,25985.0,ligue_1,13,,,,,
2014-2015,15.0,Reims,38.0,12.0,8.0,18.0,47.0,66.0,-19.0,44.0,14091.0,ligue_1,13,,,,,
2014-2015,16.0,Lorient,38.0,12.0,7.0,19.0,44.0,50.0,-6.0,43.0,13649.0,ligue_1,13,,,,,
2014-2015,17.0,Toulouse,38.0,12.0,6.0,20.0,43.0,64.0,-21.0,42.0,15689.0,ligue_1,13,,,,,
2014-2015,18.0,Evian,38.0,11.0,4.0,23.0,41.0,62.0,-21.0,37.0,10514.0,ligue_1,13,,,,,
2014-2015,19.0,Metz,38.0,7.0,9.0,22.0,31.0,61.0,-30.0,30.0,18673.0,ligue_1,13,,,,,
