player,nation,pos,age,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls.1,ast.1,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,matches_90,team_name,season,team_id
Leonardo Bonucci,it ITA,DF,32.0,35,35,3082.0,34.2,3.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,3.4,3.4,0.6,3.9,16.0,144.0,3.0,0.09,0.0,0.09,0.09,0.09,0.1,0.02,0.12,0.1,0.12,Matches,juventus,2019-2020,ERSNj2rU1juv
Cristiano Ronaldo,pt POR,FW,34.0,33,33,2917.0,32.4,31.0,5.0,36.0,19.0,12.0,13.0,3.0,0.0,28.6,18.4,6.4,24.7,167.0,118.0,321.0,0.96,0.15,1.11,0.59,0.74,0.88,0.2,1.08,0.57,0.76,Matches,juventus,2019-2020,ERSNj2rU1juv
Wojciech Szczęsny,pl POL,GK,29.0,29,29,2591.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventus,2019-2020,ERSNj2rU1juv
Juan Cuadrado,co COL,"DF,FW",31.0,33,28,2654.0,29.5,2.0,5.0,7.0,2.0,0.0,0.0,7.0,1.0,1.2,1.2,4.3,5.5,129.0,174.0,189.0,0.07,0.17,0.24,0.07,0.24,0.04,0.15,0.19,0.04,0.19,Matches,juventus,2019-2020,ERSNj2rU1juv
Miralem Pjanić,ba BIH,MF,29.0,30,28,2277.0,25.3,3.0,6.0,9.0,3.0,0.0,0.0,10.0,0.0,1.0,1.0,4.4,5.4,14.0,199.0,16.0,0.12,0.24,0.36,0.12,0.36,0.04,0.18,0.21,0.04,0.21,Matches,juventus,2019-2020,ERSNj2rU1juv
Alex Sandro,br BRA,DF,28.0,29,27,2385.0,26.5,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,2.1,2.8,91.0,151.0,83.0,0.04,0.11,0.15,0.04,0.15,0.03,0.08,0.11,0.03,0.11,Matches,juventus,2019-2020,ERSNj2rU1juv
Matthijs de Ligt,nl NED,DF,19.0,29,26,2450.0,27.2,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,2.4,2.4,0.2,2.6,10.0,88.0,2.0,0.15,0.0,0.15,0.15,0.15,0.09,0.01,0.1,0.09,0.1,Matches,juventus,2019-2020,ERSNj2rU1juv
Rodrigo Bentancur,uy URU,MF,22.0,30,25,2196.0,24.4,0.0,7.0,7.0,0.0,0.0,0.0,9.0,0.0,0.7,0.7,3.6,4.3,26.0,112.0,60.0,0.0,0.29,0.29,0.0,0.29,0.03,0.15,0.18,0.03,0.18,Matches,juventus,2019-2020,ERSNj2rU1juv
Paulo Dybala,ar ARG,"FW,MF",25.0,33,25,2155.0,23.9,11.0,6.0,17.0,10.0,1.0,1.0,5.0,0.0,9.4,8.6,6.7,15.3,101.0,135.0,204.0,0.46,0.25,0.71,0.42,0.67,0.39,0.28,0.67,0.36,0.64,Matches,juventus,2019-2020,ERSNj2rU1juv
Blaise Matuidi,fr FRA,MF,32.0,35,23,2237.0,24.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.6,2.5,22.0,95.0,118.0,0.0,0.08,0.08,0.0,0.08,0.04,0.07,0.1,0.04,0.1,Matches,juventus,2019-2020,ERSNj2rU1juv
Adrien Rabiot,fr FRA,MF,24.0,28,21,1912.0,21.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,1.5,1.5,1.2,2.7,56.0,87.0,80.0,0.05,0.05,0.09,0.05,0.09,0.07,0.06,0.13,0.07,0.13,Matches,juventus,2019-2020,ERSNj2rU1juv
Gonzalo Higuaín,ar ARG,FW,31.0,32,20,1866.0,20.7,8.0,4.0,12.0,8.0,0.0,0.0,2.0,0.0,9.7,9.7,4.3,14.0,45.0,55.0,152.0,0.39,0.19,0.58,0.39,0.58,0.47,0.21,0.68,0.47,0.68,Matches,juventus,2019-2020,ERSNj2rU1juv
Federico Bernardeschi,it ITA,"MF,FW",25.0,29,19,1571.0,17.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,4.4,4.4,3.4,7.9,45.0,56.0,126.0,0.06,0.06,0.11,0.06,0.11,0.25,0.2,0.45,0.25,0.45,Matches,juventus,2019-2020,ERSNj2rU1juv
Danilo,br BRA,DF,28.0,22,16,1440.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.9,0.9,0.7,1.7,40.0,97.0,65.0,0.12,0.0,0.12,0.12,0.12,0.06,0.05,0.1,0.06,0.1,Matches,juventus,2019-2020,ERSNj2rU1juv
Aaron Ramsey,wls WAL,MF,28.0,24,11,1051.0,11.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.5,2.5,1.1,3.6,22.0,58.0,81.0,0.26,0.09,0.34,0.26,0.34,0.22,0.09,0.31,0.22,0.31,Matches,juventus,2019-2020,ERSNj2rU1juv
Gianluigi Buffon,it ITA,GK,41.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventus,2019-2020,ERSNj2rU1juv
Sami Khedira,de GER,MF,32.0,12,9,681.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,0.8,2.0,6.0,23.0,42.0,0.0,0.13,0.13,0.0,0.13,0.16,0.1,0.27,0.16,0.27,Matches,juventus,2019-2020,ERSNj2rU1juv
Douglas Costa,br BRA,"FW,MF",28.0,23,7,802.0,8.9,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,3.8,4.5,47.0,60.0,112.0,0.11,0.45,0.56,0.11,0.56,0.08,0.43,0.51,0.08,0.51,Matches,juventus,2019-2020,ERSNj2rU1juv
Daniele Rugani,it ITA,DF,25.0,10,7,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,juventus,2019-2020,ERSNj2rU1juv
Mattia De Sciglio,it ITA,DF,26.0,9,6,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,13.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,juventus,2019-2020,ERSNj2rU1juv
Merih Demiral,tr TUR,DF,21.0,6,5,418.0,4.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.6,0.0,9.0,0.0,0.22,0.22,0.43,0.22,0.43,0.07,0.05,0.12,0.07,0.12,Matches,juventus,2019-2020,ERSNj2rU1juv
Giorgio Chiellini,it ITA,DF,34.0,4,3,202.0,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,3.0,0.0,0.45,0.0,0.45,0.45,0.45,0.09,0.0,0.09,0.09,0.09,Matches,juventus,2019-2020,ERSNj2rU1juv
Emre Can,de GER,MF,25.0,8,2,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,0.1,1.2,11.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.37,0.03,0.39,0.37,0.39,Matches,juventus,2019-2020,ERSNj2rU1juv
Simone Muratore,it ITA,MF,21.0,4,2,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,juventus,2019-2020,ERSNj2rU1juv
