season,rk,squad,mp,w,d,l,gf,ga,gd,pts,attendance,league_name,league_id,xg,xga,xgd,xgd/90,last 5
2014-2015,1.0,Juventus,38.0,26.0,9.0,3.0,72.0,24.0,48.0,87.0,38553.0,serie_a,11,,,,,
2014-2015,2.0,Roma,38.0,19.0,13.0,6.0,54.0,31.0,23.0,70.0,40135.0,serie_a,11,,,,,
2014-2015,3.0,Lazio,38.0,21.0,6.0,11.0,71.0,38.0,33.0,69.0,34949.0,serie_a,11,,,,,
2014-2015,4.0,Fiorentina,38.0,18.0,10.0,10.0,61.0,46.0,15.0,64.0,30309.0,serie_a,11,,,,,
2014-2015,5.0,Napoli,38.0,18.0,9.0,11.0,70.0,54.0,16.0,63.0,32266.0,serie_a,11,,,,,
2014-2015,6.0,Genoa,38.0,16.0,11.0,11.0,62.0,47.0,15.0,59.0,20045.0,serie_a,11,,,,,
2014-2015,7.0,Sampdoria,38.0,13.0,17.0,8.0,48.0,42.0,6.0,56.0,21745.0,serie_a,11,,,,,
2014-2015,8.0,Inter,38.0,14.0,13.0,11.0,59.0,48.0,11.0,55.0,37270.0,serie_a,11,,,,,
2014-2015,9.0,Torino,38.0,14.0,12.0,12.0,48.0,45.0,3.0,54.0,16689.0,serie_a,11,,,,,
2014-2015,10.0,Milan,38.0,13.0,13.0,12.0,56.0,50.0,6.0,52.0,36661.0,serie_a,11,,,,,
2014-2015,11.0,Palermo,38.0,12.0,13.0,13.0,53.0,55.0,-2.0,49.0,17481.0,serie_a,11,,,,,
2014-2015,12.0,Sassuolo,38.0,12.0,13.0,13.0,49.0,57.0,-8.0,49.0,12831.0,serie_a,11,,,,,
2014-2015,13.0,Hellas Verona,38.0,11.0,13.0,14.0,49.0,65.0,-16.0,46.0,19299.0,serie_a,11,,,,,
2014-2015,14.0,Chievo,38.0,10.0,13.0,15.0,28.0,41.0,-13.0,43.0,10652.0,serie_a,11,,,,,
2014-2015,15.0,Empoli,38.0,8.0,18.0,12.0,46.0,52.0,-6.0,42.0,9229.0,serie_a,11,,,,,
2014-2015,16.0,Udinese,38.0,10.0,11.0,17.0,43.0,56.0,-13.0,41.0,8912.0,serie_a,11,,,,,
2014-2015,17.0,Atalanta,38.0,7.0,16.0,15.0,38.0,57.0,-19.0,37.0,15160.0,serie_a,11,,,,,
2014-2015,18.0,Cagliari,38.0,8.0,10.0,20.0,48.0,68.0,-20.0,34.0,10793.0,serie_a,11,,,,,
