Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2018-03-01,19:30,Libertadores,Group stage,Thu,Away,W,3,0,co Junior,52.0,,Dudu,4-2-3-1,4-4-1-1,Enrique Cáceres,Match Report,,2018,brasileirao,24,2018 Palmeiras,12,3,25.0,0.25,1.0,
2018-04-03,21:30,Libertadores,Group stage,Tue,Home,W,2,0,pe Alianza Lima,62.0,,Dudu,4-2-3-1,4-1-4-1,José Argote,Match Report,,2018,brasileirao,24,2018 Palmeiras,20,5,25.0,0.1,0.4,
2018-04-11,21:45,Libertadores,Group stage,Wed,Home,D,1,1,ar Boca Juniors,52.0,37192.0,Dudu,4-2-3-1,4-3-3,Andrés Cunha,Match Report,,2018,brasileirao,24,2018 Palmeiras,9,1,11.1,0.11,1.0,
2018-04-16,20:00,Série A,Matchweek 1,Mon,Away,D,1,1,Botafogo (RJ),54.0,8033.0,Dudu,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,,2018,brasileirao,24,2018 Palmeiras,7,4,57.1,0.14,0.25,
2018-04-22,16:00,Série A,Matchweek 2,Sun,Home,W,1,0,Internacional,45.0,25504.0,Edu Dracena,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2018,brasileirao,24,2018 Palmeiras,13,2,15.4,0.08,0.5,
2018-04-25,21:45,Libertadores,Group stage,Wed,Away,W,2,0,ar Boca Juniors,43.0,,Dudu,4-2-3-1,4-1-2-1-2,Roberto Tobar,Match Report,,2018,brasileirao,24,2018 Palmeiras,12,3,25.0,0.17,0.67,
2018-04-29,16:00,Série A,Matchweek 3,Sun,Home,D,0,0,Chapecoense,71.0,30871.0,Dudu,4-2-3-1,4-1-4-1,Igor Junior Benevenuto,Match Report,,2018,brasileirao,24,2018 Palmeiras,16,4,25.0,0.0,0.0,
2018-05-03,19:30,Libertadores,Group stage,Thu,Away,W,3,1,pe Alianza Lima,62.0,,Moisés Magalhães,4-2-3-1,4-1-4-1,Gery Vargas,Match Report,,2018,brasileirao,24,2018 Palmeiras,18,11,61.1,0.17,0.27,
2018-05-06,16:00,Série A,Matchweek 4,Sun,Away,W,3,1,Ath Paranaense,38.0,19077.0,Dudu,4-2-3-1,3-4-3,Claudio Francisco Lima e Silva,Match Report,,2018,brasileirao,24,2018 Palmeiras,15,6,40.0,0.2,0.5,
2018-05-13,16:00,Série A,Matchweek 5,Sun,Away,L,0,1,Corinthians,47.0,34967.0,Dudu,4-2-3-1,4-2-4-0,Anderson Daronco,Match Report,,2018,brasileirao,24,2018 Palmeiras,10,4,40.0,0.0,0.0,
2018-05-16,21:45,Libertadores,Group stage,Wed,Home,W,3,1,co Junior,50.0,,Fernando Prass,4-2-3-1,4-2-3-1,Enrique Cáceres,Match Report,,2018,brasileirao,24,2018 Palmeiras,16,7,43.8,0.19,0.43,
2018-05-19,21:00,Série A,Matchweek 6,Sat,Home,W,3,0,Bahia,53.0,26351.0,Felipe Melo,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2018,brasileirao,24,2018 Palmeiras,14,6,42.9,0.21,0.5,
2018-05-26,19:00,Série A,Matchweek 7,Sat,Home,L,2,3,Sport Recife,61.0,25947.0,Bruno Henrique,4-2-3-1,4-1-4-1,Dewson Fernando Freitas da Silva,Match Report,,2018,brasileirao,24,2018 Palmeiras,15,5,33.3,0.13,0.4,
2018-05-30,21:45,Série A,Matchweek 8,Wed,Away,L,0,1,Cruzeiro,49.0,19679.0,Marcos Rocha,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Palmeiras,6,4,66.7,0.0,0.0,
2018-06-02,21:00,Série A,Matchweek 9,Sat,Home,W,3,1,São Paulo,49.0,32841.0,Moisés Magalhães,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2018,brasileirao,24,2018 Palmeiras,8,3,37.5,0.38,1.0,
2018-06-06,21:45,Série A,Matchweek 10,Wed,Away,W,2,0,Grêmio,48.0,26556.0,Willian,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2018,brasileirao,24,2018 Palmeiras,9,3,33.3,0.22,0.67,
2018-06-10,16:00,Série A,Matchweek 11,Sun,Away,D,2,2,Ceará,57.0,32732.0,Victor Luis,4-2-3-1,4-5-1,Jean Pierre Goncalves Lima,Match Report,,2018,brasileirao,24,2018 Palmeiras,9,3,33.3,0.22,0.67,
2018-06-13,21:00,Série A,Matchweek 12,Wed,Home,D,1,1,Flamengo,46.0,36882.0,Moisés Magalhães,4-2-3-1,4-1-4-1,Braulio da Silva Machado,Match Report,,2018,brasileirao,24,2018 Palmeiras,15,5,33.3,0.07,0.2,
2018-07-19,20:00,Série A,Matchweek 13,Thu,Away,D,1,1,Santos,51.0,26417.0,Bruno Henrique,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2018,brasileirao,24,2018 Palmeiras,13,7,53.8,0.08,0.14,
2018-07-22,16:00,Série A,Matchweek 14,Sun,Home,W,3,2,Atlético Mineiro,44.0,29246.0,Bruno Henrique,4-2-3-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,,2018,brasileirao,24,2018 Palmeiras,10,4,40.0,0.3,0.75,
2018-07-25,19:30,Série A,Matchweek 15,Wed,Away,L,0,1,Fluminense,62.0,22827.0,Bruno Henrique,4-2-3-1,4-3-3,Rodrigo D'Alonso Ferreira,Match Report,,2018,brasileirao,24,2018 Palmeiras,13,3,23.1,0.0,0.0,
2018-07-29,11:00,Série A,Matchweek 16,Sun,Home,W,3,0,Paraná,52.0,35776.0,Bruno Henrique,4-2-3-1,4-1-4-1,Wagner Reway,Match Report,,2018,brasileirao,24,2018 Palmeiras,24,12,50.0,0.13,0.25,
2018-08-05,16:00,Série A,Matchweek 17,Sun,Away,D,0,0,América (MG),49.0,8077.0,Moisés Magalhães,4-1-4-1,4-1-4-1,André Luiz de Freitas Castro,Match Report,,2018,brasileirao,24,2018 Palmeiras,15,5,33.3,0.0,0.0,
2018-08-09,20:45,Libertadores,Round of 16,Thu,Away,W,2,0,py Cerro Porteño,50.0,,Bruno Henrique,4-2-3-1,4-1-4-1,Fernando Rapallini,Match Report,Leg 1 of 2,2018,brasileirao,24,2018 Palmeiras,9,4,44.4,0.22,0.5,
