Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2024-02-21,20:30,Libertadores,Second qualifying stage,Wed,Away,D,1,1,bo Aurora,2.1,0.8,36.0,,Alexander Barboza,4-3-3,3-4-3,,Match Report,Leg 1 of 2,2024,brasileirao,24,Botafogo (RJ),10,3,30.0,0.1,0.33,20.9,6,5,83.3,1.6,0.6,217.0,309.0,70.2,4415.0,1986.0,0,0.5,0.4,2.0,19.0,8.0,25.0,0.0,10,0.0,2.0,20.0,1.0,25.0,19,16.0,3.0,13.0,9,26.0,0.0,85.0,7.0,8.0,11.0,7.0,14,0,43.0,47.1
2024-02-28,21:30,Libertadores,Second qualifying stage,Wed,Home,W,6,0,bo Aurora,4.3,0.3,51.0,21917.0,Gatito Fernández,4-3-3,3-4-1-2,,Match Report,Leg 2 of 2; Botafogo (RJ) won,2024,brasileirao,24,Botafogo (RJ),20,11,55.0,0.3,0.55,14.5,1,1,100.0,0.3,0.3,376.0,446.0,84.3,6312.0,2360.0,4,3.6,1.3,1.0,40.0,14.0,34.0,3.0,4,3.0,0.0,33.0,8.0,17.0,14,8.0,0.0,8.0,8,4.0,0.0,107.0,13.0,10.0,9.0,9.0,15,9,51.0,36.4
2024-03-06,21:30,Libertadores,Third qualifying stage,Wed,Home,W,2,1,br Red Bull Bragantino,0.7,0.2,46.0,33433.0,Gatito Fernández,4-3-3,4-2-3-1,,Match Report,Leg 1 of 2,2024,brasileirao,24,Botafogo (RJ),7,5,71.4,0.29,0.4,22.5,3,2,66.7,0.6,-0.4,250.0,363.0,68.9,4469.0,1610.0,2,0.6,0.2,0.0,16.0,4.0,14.0,7.0,10,0.0,2.0,11.0,4.0,19.0,13,8.0,0.0,9.0,9,14.0,0.0,64.0,13.0,9.0,14.0,8.0,10,3,38.0,60.7
2024-03-13,21:30,Libertadores,Third qualifying stage,Wed,Away,D,1,1,br Red Bull Bragantino,0.8,1.5,38.0,,Gatito Fernández,4-2-3-1,4-2-3-1,,Match Report,Leg 2 of 2; Botafogo (RJ) won,2024,brasileirao,24,Botafogo (RJ),9,1,11.1,0.11,1.0,28.4,6,5,83.3,2.0,1.0,164.0,275.0,59.6,3777.0,2086.0,1,0.8,0.8,0.0,14.0,6.0,17.0,3.0,7,0.0,4.0,13.0,2.0,9.0,7,5.0,1.0,15.0,14,38.0,0.0,79.0,4.0,3.0,18.0,7.0,13,1,50.0,41.7
2024-04-03,19:00,Libertadores,Group stage,Wed,Home,L,1,3,co Junior,0.7,2.5,58.0,39039.0,Gatito Fernández,4-3-3,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),20,8,40.0,0.05,0.13,23.1,3,0,33.3,2.8,-0.2,422.0,519.0,81.3,7284.0,2448.0,1,0.6,1.3,3.0,53.0,16.0,52.0,2.0,26,1.0,5.0,35.0,2.0,13.0,8,2.0,1.0,7.0,10,5.0,0.0,181.0,13.0,7.0,12.0,8.0,16,1,45.0,61.8
2024-04-11,17:00,Libertadores,Group stage,Thu,Away,L,0,1,ec LDU de Quito,0.7,0.8,57.0,16008.0,Gatito Fernández,4-4-2,4-4-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),10,2,20.0,0.0,0.0,23.5,3,2,66.7,0.3,-0.7,400.0,487.0,82.1,7113.0,2482.0,0,0.7,0.9,0.0,38.0,9.0,23.0,9.0,9,3.0,3.0,19.0,0.0,12.0,8,7.0,1.0,9.0,9,24.0,0.0,91.0,19.0,10.0,14.0,7.0,7,2,43.0,56.3
2024-04-14,17:00,Série A,Matchweek 1,Sun,Away,L,2,3,Cruzeiro,2.0,1.6,45.0,20701.0,Gatito Fernández,4-4-2,4-3-3,,Match Report,,2024,brasileirao,24,Botafogo (RJ),6,3,50.0,0.33,0.67,15.2,5,2,40.0,2.9,-0.1,279.0,357.0,78.2,5371.0,2201.0,1,1.2,1.0,1.0,17.0,5.0,10.0,4.0,8,3.0,3.0,11.0,3.0,12.0,5,5.0,0.0,17.0,9,28.0,1.0,74.0,8.0,5.0,15.0,10.0,11,0,26.0,47.8
2024-04-18,21:30,Série A,Matchweek 2,Thu,Home,W,1,0,Atl Goianiense,0.6,0.9,52.0,7801.0,Gatito Fernández,4-4-2,4-4-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),13,4,30.8,0.08,0.25,20.1,3,3,100.0,0.5,0.5,406.0,497.0,81.7,7273.0,2655.0,1,0.6,0.7,2.0,38.0,11.0,25.0,3.0,16,0.0,8.0,23.0,2.0,14.0,11,8.0,2.0,6.0,8,33.0,0.0,129.0,16.0,12.0,17.0,11.0,13,1,52.0,31.6
2024-04-21,18:30,Série A,Matchweek 3,Sun,Home,W,5,1,Juventude,2.9,0.3,55.0,13273.0,Gatito Fernández,4-4-2,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),12,5,41.7,0.33,0.8,14.8,1,0,0.0,0.5,-0.5,463.0,524.0,88.4,8898.0,3311.0,2,1.4,1.9,4.0,47.0,10.0,37.0,3.0,17,0.0,5.0,22.0,8.0,19.0,16,7.0,1.0,14.0,6,20.0,0.0,125.0,13.0,9.0,16.0,14.0,22,1,48.0,64.7
2024-04-24,19:00,Libertadores,Group stage,Wed,Home,W,3,1,pe Universitario,2.8,0.2,70.0,23800.0,Marlon Freitas,4-4-2,3-5-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),11,4,36.4,0.27,0.75,16.3,1,0,0.0,0.2,-0.8,592.0,665.0,89.0,11092.0,3413.0,3,2.7,1.1,2.0,34.0,9.0,37.0,8.0,17,0.0,3.0,22.0,6.0,12.0,6,6.0,3.0,8.0,2,21.0,0.0,132.0,12.0,11.0,19.0,11.0,10,2,32.0,42.9
2024-04-28,11:00,Série A,Matchweek 4,Sun,Away,W,2,0,Flamengo,1.0,0.8,40.0,53683.0,Marlon Freitas,4-4-2,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),9,3,33.3,0.22,0.67,20.3,0,0,,0.0,0.0,301.0,378.0,79.6,5267.0,2258.0,2,1.0,1.0,0.0,31.0,9.0,20.0,1.0,8,1.0,3.0,16.0,3.0,11.0,8,7.0,1.0,14.0,9,30.0,0.0,84.0,7.0,5.0,18.0,11.0,15,1,31.0,40.0
2024-05-05,18:30,Série A,Matchweek 5,Sun,Home,L,1,2,Bahia,0.8,2.8,56.0,22685.0,Marlon Freitas,4-2-3-1,4-1-2-1-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),16,5,31.3,0.06,0.2,22.4,4,2,75.0,2.3,0.3,503.0,586.0,85.8,9179.0,2962.0,1,0.8,0.4,0.0,52.0,14.0,67.0,2.0,20,2.0,5.0,28.0,1.0,12.0,6,8.0,3.0,5.0,8,10.0,0.0,174.0,18.0,13.0,15.0,9.0,10,6,49.0,47.1
2024-05-08,21:30,Libertadores,Group stage,Wed,Home,W,2,1,ec LDU de Quito,2.1,0.9,60.0,26464.0,Marlon Freitas,4-2-3-1,5-3-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),13,5,38.5,0.15,0.4,19.7,4,3,75.0,0.8,-0.2,371.0,453.0,81.9,6473.0,2672.0,2,2.0,1.1,2.0,46.0,9.0,32.0,3.0,9,1.0,1.0,20.0,3.0,16.0,4,8.0,2.0,11.0,11,16.0,0.0,114.0,15.0,11.0,18.0,11.0,18,3,44.0,56.3
