Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Dudu,br BRA,MF,26.0,31,28,2466.0,27.4,7.0,14.0,21.0,7.0,0.0,1.0,9.0,1.0,0.26,0.51,0.77,0.26,0.77,Matches,2018,brasileirao,24,2018 Palmeiras
Bruno Henrique,br BRA,MF,28.0,33,27,2406.0,26.7,9.0,3.0,12.0,7.0,2.0,2.0,7.0,0.0,0.34,0.11,0.45,0.26,0.37,Matches,2018,brasileirao,24,2018 Palmeiras
Felipe Melo,br BRA,MF,34.0,29,26,2214.0,24.6,2.0,1.0,3.0,2.0,0.0,0.0,15.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches,2018,brasileirao,24,2018 Palmeiras
Lucas Lima,br BRA,MF,27.0,34,26,2167.0,24.1,5.0,3.0,8.0,5.0,0.0,0.0,8.0,0.0,0.21,0.12,0.33,0.21,0.33,Matches,2018,brasileirao,24,2018 Palmeiras
Wéverton,br BRA,GK,30.0,23,23,2025.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Willian,br BRA,"FW,MF",31.0,32,21,1967.0,21.9,10.0,4.0,14.0,10.0,0.0,0.0,2.0,0.0,0.46,0.18,0.64,0.46,0.64,Matches,2018,brasileirao,24,2018 Palmeiras
Antonio Carlos,br BRA,DF,24.0,22,21,1945.0,21.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches,2018,brasileirao,24,2018 Palmeiras
Victor Luis,br BRA,DF,24.0,22,21,1837.0,20.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2018,brasileirao,24,2018 Palmeiras
Edu Dracena,br BRA,DF,36.0,20,20,1799.0,20.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches,2018,brasileirao,24,2018 Palmeiras
Marcos Rocha,br BRA,DF,29.0,20,20,1656.0,18.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.05,0.11,0.16,0.05,0.16,Matches,2018,brasileirao,24,2018 Palmeiras
Diogo Barbosa,br BRA,DF,25.0,20,17,1601.0,17.8,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2018,brasileirao,24,2018 Palmeiras
Moisés Magalhães,br BRA,MF,29.0,28,16,1509.0,16.8,2.0,0.0,2.0,1.0,1.0,1.0,6.0,0.0,0.12,0.0,0.12,0.06,0.06,Matches,2018,brasileirao,24,2018 Palmeiras
Thiago dos Santos,br BRA,MF,28.0,23,16,1445.0,16.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2018,brasileirao,24,2018 Palmeiras
Luan Garcia,br BRA,DF,24.0,16,16,1374.0,15.3,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.13,0.0,0.13,0.13,0.13,Matches,2018,brasileirao,24,2018 Palmeiras
Hyoran,br BRA,MF,24.0,24,15,1431.0,15.9,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,0.19,0.25,0.44,0.19,0.44,Matches,2018,brasileirao,24,2018 Palmeiras
Miguel Borja,co COL,FW,25.0,16,15,1103.0,12.3,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.24,0.08,0.33,0.24,0.33,Matches,2018,brasileirao,24,2018 Palmeiras
Mayke,br BRA,DF,25.0,20,14,1444.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,2018,brasileirao,24,2018 Palmeiras
Gustavo Gómez,py PAR,DF,24.0,14,13,1181.0,13.1,2.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,0.15,0.0,0.15,0.08,0.08,Matches,2018,brasileirao,24,2018 Palmeiras
Jailson,br BRA,GK,36.0,13,12,1124.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Deyverson,br BRA,FW,26.0,26,11,1225.0,13.6,9.0,2.0,11.0,9.0,0.0,0.0,5.0,1.0,0.66,0.15,0.81,0.66,0.81,Matches,2018,brasileirao,24,2018 Palmeiras
Jean,br BRA,"MF,DF",31.0,18,9,824.0,9.2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Keno,br BRA,MF,28.0,9,9,753.0,8.4,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,2018,brasileirao,24,2018 Palmeiras
Gustavo Scarpa,br BRA,MF,24.0,12,8,653.0,7.3,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.28,0.14,0.41,0.14,0.28,Matches,2018,brasileirao,24,2018 Palmeiras
Thiago Martins,br BRA,DF,22.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Alejandro Guerra,ve VEN,"FW,MF",32.0,9,3,353.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.51,0.25,0.51,Matches,2018,brasileirao,24,2018 Palmeiras
Fernando Prass,br BRA,GK,39.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Artur,,MF,19.0,5,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Tyra Håkansson,se SWE,MF,,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Tchê Tchê,br BRA,"DF,MF",25.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Palmeiras
Anderson,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Palmeiras
Michel Bastos,br BRA,"DF,MF",34.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Palmeiras
Luan Cândido,br BRA,DF,16.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Palmeiras
Fernando,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Palmeiras
Nicolás Freire,ar ARG,DF,23.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Palmeiras
