Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
John,br BRA,GK,28-252,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,brasileirao,24,Botafogo (RJ)
Bastos,ao ANG,DF,33-209,27,26,2257.0,25.1,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.1,1.1,0.1,1.1,9.0,86.0,4.0,0.12,0.0,0.12,0.12,0.12,0.04,0.0,0.05,0.04,0.05,Matches,2024,brasileirao,24,Botafogo (RJ)
Luiz Henrique,br BRA,"FW,MF",23-294,28,26,1997.0,22.2,6.0,3.0,9.0,5.0,1.0,1.0,3.0,0.0,5.4,4.6,3.1,7.8,61.0,54.0,190.0,0.27,0.14,0.41,0.23,0.36,0.24,0.14,0.39,0.21,0.35,Matches,2024,brasileirao,24,Botafogo (RJ)
Marlon Freitas,br BRA,MF,29-209,25,21,1828.0,20.3,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,2.7,3.6,26.0,184.0,30.0,0.0,0.2,0.2,0.0,0.2,0.05,0.13,0.18,0.05,0.18,Matches,2024,brasileirao,24,Botafogo (RJ)
Gregore,br BRA,MF,30-234,25,17,1522.0,16.9,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,1.3,2.0,16.0,109.0,17.0,0.0,0.12,0.12,0.0,0.12,0.04,0.08,0.12,0.04,0.12,Matches,2024,brasileirao,24,Botafogo (RJ)
Alexander Barboza,ar ARG,DF,29-220,20,17,1494.0,16.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.7,0.7,0.9,1.5,9.0,64.0,6.0,0.0,0.06,0.06,0.0,0.06,0.04,0.05,0.09,0.04,0.09,Matches,2024,brasileirao,24,Botafogo (RJ)
Tchê Tchê,br BRA,"MF,FW",32-053,26,15,1515.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,2.8,3.4,28.0,90.0,42.0,0.0,0.0,0.0,0.0,0.0,0.04,0.17,0.2,0.04,0.2,Matches,2024,brasileirao,24,Botafogo (RJ)
Jefferson Savarino,ve VEN,"MF,FW",27-346,21,15,1447.0,16.1,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,3.4,3.1,5.0,8.1,31.0,87.0,122.0,0.25,0.31,0.56,0.25,0.56,0.21,0.31,0.52,0.19,0.5,Matches,2024,brasileirao,24,Botafogo (RJ)
Lucas Halter,br BRA,DF,24-173,16,15,1331.0,14.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,0.5,8.0,40.0,1.0,0.07,0.0,0.07,0.07,0.07,0.02,0.01,0.03,0.02,0.03,Matches,2024,brasileirao,24,Botafogo (RJ)
Júnior Santos,br BRA,FW,30-011,18,15,1327.0,14.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,5.4,5.4,1.4,6.8,40.0,28.0,117.0,0.2,0.07,0.27,0.2,0.27,0.37,0.09,0.46,0.37,0.46,Matches,2024,brasileirao,24,Botafogo (RJ)
Cuiabano,br BRA,DF,21-249,18,14,1224.0,13.6,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,1.3,1.3,0.7,2.0,28.0,29.0,106.0,0.29,0.07,0.37,0.29,0.37,0.1,0.05,0.15,0.1,0.15,Matches,2024,brasileirao,24,Botafogo (RJ)
Danilo Barbosa,br BRA,MF,28-237,24,14,1143.0,12.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.3,1.3,0.4,1.7,9.0,53.0,13.0,0.24,0.08,0.31,0.24,0.31,0.1,0.03,0.13,0.1,0.13,Matches,2024,brasileirao,24,Botafogo (RJ)
Damián Suárez,uy URU,DF,36-178,17,13,1244.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,1.6,1.7,22.0,37.0,55.0,0.0,0.07,0.07,0.0,0.07,0.01,0.12,0.13,0.01,0.13,Matches,2024,brasileirao,24,Botafogo (RJ)
Tiquinho Soares,br BRA,"FW,MF",33-279,22,12,1168.0,13.0,5.0,3.0,8.0,3.0,2.0,2.0,4.0,0.0,5.9,4.3,2.1,6.4,7.0,27.0,58.0,0.39,0.23,0.62,0.23,0.46,0.45,0.16,0.61,0.33,0.49,Matches,2024,brasileirao,24,Botafogo (RJ)
Mateo Ponte,uy URU,DF,21-151,13,12,912.0,10.1,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.4,1.4,0.7,2.1,16.0,34.0,71.0,0.3,0.0,0.3,0.3,0.3,0.14,0.07,0.21,0.14,0.21,Matches,2024,brasileirao,24,Botafogo (RJ)
