Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes,season,league_name,league_id
1,Palmeiras,38,23,11,4,64,26,38,80,2.11,32965,Willian - 10,Wéverton,→ Copa Libertadores via league finish,2018,brasileirao,24
2,Flamengo,38,21,9,8,59,29,30,72,1.89,51114,Lucas Paquetá - 10,Diego Alves,→ Copa Libertadores via league finish,2018,brasileirao,24
3,Internacional,38,19,12,7,51,29,22,69,1.82,28632,Nicolás López - 11,Marcelo Lomba,→ Copa Libertadores via league finish,2018,brasileirao,24
4,Grêmio,38,18,12,8,48,27,21,66,1.74,22261,Everton Soares - 10,Paulo Victor Vidotti,→ Copa Libertadores via league finish,2018,brasileirao,24
5,São Paulo,38,16,15,7,46,34,12,63,1.66,34321,Diego Souza - 12,Sidão,→ Copa Libertadores via league finish,2018,brasileirao,24
6,Atlético Mineiro,38,17,8,13,56,43,13,59,1.55,18500,Ricardo Oliveira - 13,Victor Leandro Bagy,→ Copa Libertadores via league finish,2018,brasileirao,24
7,Ath Paranaense,38,16,9,13,54,37,17,57,1.5,10917,Pablo - 12,Santos,,2018,brasileirao,24
8,Cruzeiro,38,14,11,13,34,34,0,53,1.39,19370,Giorgian De Arrascaeta - 6,Fábio,→ Copa Libertadores via cup win 1,2018,brasileirao,24
9,Botafogo (RJ),38,13,12,13,38,46,-8,51,1.34,12734,Kieza - 7,Saulo,→ Copa Sudamericana via league finish,2018,brasileirao,24
10,Santos,38,13,11,14,46,40,6,50,1.32,11793,Gabriel Barbosa - 18,Vanderlei,→ Copa Sudamericana via league finish,2018,brasileirao,24
11,Bahia,38,12,12,14,39,41,-2,48,1.26,19334,Gilberto - 8,Douglas Friedrich,→ Copa Sudamericana via league finish,2018,brasileirao,24
12,Fluminense,38,12,9,17,32,46,-14,45,1.18,15503,Pedro - 10,Júlio César,→ Copa Sudamericana via league finish,2018,brasileirao,24
13,Corinthians,38,11,11,16,34,35,-1,44,1.16,31367,Ángel Romero - 6,Cássio,→ Copa Sudamericana via league finish,2018,brasileirao,24
14,Chapecoense,38,11,11,16,34,50,-16,44,1.16,10013,Leandro Pereira - 11,Jandrei,→ Copa Sudamericana via league finish,2018,brasileirao,24
15,Ceará,38,10,14,14,32,38,-6,44,1.16,28783,Arthur Cabral - 7,Éverson,,2018,brasileirao,24
16,Vasco da Gama,38,10,13,15,41,48,-7,43,1.13,14795,Yago Pikachu - 10,Martín Silva,,2018,brasileirao,24
17,Sport Recife,38,11,9,18,35,57,-22,42,1.11,16215,Gabriel - 5,Magrão,Relegated,2018,brasileirao,24
18,América (MG),38,10,10,18,30,47,-17,40,1.05,6619,Rafael Moura - 7,João Ricardo Riedi,Relegated,2018,brasileirao,24
19,Vitória,38,9,10,19,36,63,-27,37,0.97,9217,Neílton - 7,Ronaldo,Relegated,2018,brasileirao,24
20,Paraná,38,4,11,23,18,57,-39,23,0.61,6223,Alex Santana - 4,Richard,Relegated,2018,brasileirao,24
