Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes,season,league_name,league_id
1,Botafogo (RJ),38,23,10,5,59,29,30,79,2.08,57.3,35.2,22.1,0.58,17320,Jefferson Savarino - 8,John,,2024,brasileirao,24
2,Palmeiras,38,22,7,9,60,33,27,73,1.92,67.0,36.2,30.7,0.81,29184,Estevão - 13,Wéverton,,2024,brasileirao,24
3,Flamengo,38,20,10,8,61,42,19,70,1.84,56.5,40.3,16.2,0.43,53146,Pedro - 11,Agustín Rossi,,2024,brasileirao,24
4,Fortaleza,38,19,11,8,53,39,14,68,1.79,43.6,49.1,-5.5,-0.15,23566,Juan Martín Lucero - 8,João Ricardo Riedi,,2024,brasileirao,24
5,Internacional,38,18,11,9,53,36,17,65,1.71,58.4,33.5,25.0,0.66,17997,Wesley - 11,Sergio Rochet,,2024,brasileirao,24
6,São Paulo,38,17,8,13,53,43,10,59,1.55,40.3,35.4,5.0,0.13,38924,Luciano - 11,Rafael Pires,,2024,brasileirao,24
7,Corinthians,38,15,11,12,54,45,9,56,1.47,48.9,43.1,5.8,0.15,43241,Yuri Alberto - 15,Hugo Souza,,2024,brasileirao,24
8,Bahia,38,15,8,15,49,49,0,53,1.39,51.4,43.0,8.4,0.22,37416,Everaldo Stum - 8,Marcos Felipe,,2024,brasileirao,24
9,Cruzeiro,38,14,10,14,43,41,2,52,1.37,39.9,45.5,-5.6,-0.15,22556,Matheus Pereira - 8,Cássio,,2024,brasileirao,24
10,Vasco da Gama,38,14,8,16,43,56,-13,50,1.32,36.8,53.3,-16.5,-0.43,19545,Pablo Vegetti - 12,Léo Jardim,,2024,brasileirao,24
11,Vitória,38,13,8,17,45,52,-7,47,1.24,42.6,44.3,-1.7,-0.05,21382,Alerrandro - 15,Lucas Arcanjo,,2024,brasileirao,24
12,Atlético Mineiro,38,11,14,13,47,54,-7,47,1.24,46.1,45.5,0.5,0.01,22605,Hulk - 10,Éverson,,2024,brasileirao,24
13,Fluminense,38,12,10,16,33,39,-6,46,1.21,37.5,43.6,-6.1,-0.16,23649,Jhon Arias - 7,Fábio,,2024,brasileirao,24
14,Grêmio,38,12,9,17,44,50,-6,45,1.18,43.5,49.3,-5.8,-0.15,15968,Martin Braithwaite - 8,Agustín Marchesín,,2024,brasileirao,24
15,Juventude,38,11,12,15,48,59,-11,45,1.18,42.9,58.8,-15.9,-0.42,6889,Lucas Barbosa - 7,Gabriel,,2024,brasileirao,24
16,Red Bull Bragantino,38,10,14,14,44,48,-4,44,1.16,39.3,48.1,-8.8,-0.23,6117,Eduardo Sasha - 8,Cleiton Schwengber,,2024,brasileirao,24
17,Ath Paranaense,38,11,9,18,40,46,-6,42,1.11,47.0,46.7,0.3,0.01,29852,"Nikão, Julimar - 6",Mycael,Relegated,2024,brasileirao,24
18,Criciúma,38,9,11,18,42,61,-19,38,1.0,37.4,56.6,-19.2,-0.5,14826,Yannick Bolasie - 8,Gustavo,Relegated,2024,brasileirao,24
19,Atl Goianiense,38,7,9,22,29,58,-29,30,0.79,40.4,52.3,-12.0,-0.31,10370,Luiz Fernando - 8,Ronaldo,Relegated,2024,brasileirao,24
20,Cuiabá,38,6,12,20,29,49,-20,30,0.79,32.4,49.3,-16.9,-0.45,6481,Isidro Pitta - 7,Walter,Relegated,2024,brasileirao,24
