Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2023-04-05,20:30,Libertadores,Group stage,Wed,Away,L,1,3,bo Bolívar,0.8,1.8,45,,Luan Garcia,4-3-3,3-4-3,Alexis Herrera,Match Report,,2023,brasileirao,24,2023 Palmeiras,9,3,33.3,0.11,0.33,19.5,8,5,62.5,2.3,-0.7,253.0,343.0,73.8,5540.0,2109.0,0,0.5,0.5,1.0,29.0,6.0,25.0,5.0,21,3.0,6.0,17.0,2.0,7.0,4,6.0,0.0,8.0,13,22.0,0.0,74.0,19.0,6.0,10.0,2.0,10,4,41.0,50.0
2023-04-15,16:00,Série A,Matchweek 1,Sat,Home,W,2,1,Cuiabá,3.0,1.0,52,35835.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,,2023,brasileirao,24,2023 Palmeiras,17,5,29.4,0.12,0.4,16.3,4,3,75.0,1.6,0.6,415.0,508.0,81.7,8419.0,3065.0,2,2.6,1.4,6.0,39.0,11.0,36.0,7.0,22,1.0,4.0,28.0,4.0,19.0,12,9.0,4.0,14.0,8,10.0,0.0,177.0,30.0,12.0,17.0,17.0,23,3,62.0,41.7
2023-04-20,21:00,Libertadores,Group stage,Thu,Home,W,2,1,py Cerro Porteño,2.3,1.8,51,,Gustavo Gómez,4-2-3-1,4-4-2,Fernando Rapallini,Match Report,,2023,brasileirao,24,2023 Palmeiras,18,7,38.9,0.11,0.29,15.3,4,3,75.0,1.5,0.5,275.0,401.0,68.6,5437.0,2205.0,1,2.1,0.9,6.0,43.0,12.0,23.0,5.0,28,1.0,8.0,32.0,3.0,11.0,8,6.0,3.0,12.0,8,17.0,0.0,169.0,23.0,15.0,28.0,12.0,15,1,69.0,41.3
2023-04-23,16:00,Série A,Matchweek 2,Sun,Away,D,2,2,Vasco da Gama,0.7,1.4,64,59867.0,Gustavo Gómez,4-2-3-1,4-3-3,Rafael Rodrigo Klein,Match Report,,2023,brasileirao,24,2023 Palmeiras,13,7,53.8,0.15,0.29,21.7,3,1,33.3,1.7,-0.3,409.0,530.0,77.2,7771.0,2557.0,2,0.4,0.6,3.0,45.0,8.0,43.0,3.0,31,0.0,5.0,26.0,4.0,15.0,9,4.0,3.0,10.0,6,28.0,0.0,164.0,25.0,15.0,11.0,9.0,15,0,53.0,56.8
2023-04-29,18:30,Série A,Matchweek 3,Sat,Home,W,2,1,Corinthians,1.4,0.5,54,41457.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2023,brasileirao,24,2023 Palmeiras,21,6,28.6,0.1,0.33,20.2,2,2,50.0,0.1,0.1,454.0,549.0,82.7,8360.0,2710.0,1,1.0,1.3,3.0,62.0,15.0,32.0,3.0,21,1.0,12.0,38.0,3.0,19.0,14,9.0,2.0,11.0,10,21.0,0.0,179.0,28.0,24.0,15.0,6.0,20,0,53.0,53.8
2023-05-03,19:30,Libertadores,Group stage,Wed,Away,W,2,0,ec Barcelona,2.7,1.0,51,,Gustavo Gómez,4-2-3-1,4-2-3-1,Andrés Rojas,Match Report,,2023,brasileirao,24,2023 Palmeiras,13,5,38.5,0.08,0.2,21.7,7,7,100.0,0.9,0.9,348.0,433.0,80.4,6355.0,2563.0,0,1.2,1.2,0.0,24.0,12.0,25.0,4.0,11,3.0,5.0,24.0,3.0,23.0,17,10.0,1.0,13.0,10,32.0,0.0,101.0,17.0,15.0,20.0,6.0,14,1,55.0,56.0
2023-05-07,18:30,Série A,Matchweek 4,Sun,Away,W,5,0,Goiás,2.0,0.7,57,13789.0,Gustavo Gómez,3-4-3,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,2023,brasileirao,24,2023 Palmeiras,17,7,41.2,0.24,0.57,15.8,4,4,100.0,0.5,0.5,489.0,565.0,86.5,9243.0,3222.0,3,1.7,1.5,1.0,57.0,12.0,45.0,5.0,19,0.0,6.0,29.0,5.0,14.0,8,6.0,1.0,16.0,2,18.0,0.0,176.0,24.0,23.0,10.0,6.0,29,1,46.0,65.0
2023-05-10,21:30,Série A,Matchweek 5,Wed,Home,W,4,1,Grêmio,3.8,0.1,59,37532.0,Gustavo Gómez,4-2-3-1,3-4-1-2,Braulio da Silva Machado,Match Report,,2023,brasileirao,24,2023 Palmeiras,27,9,33.3,0.11,0.33,19.0,2,1,50.0,0.5,-0.5,528.0,614.0,86.0,10243.0,3336.0,2,2.8,1.3,4.0,54.0,19.0,40.0,7.0,24,1.0,7.0,48.0,5.0,8.0,5,4.0,0.0,10.0,10,14.0,0.0,170.0,35.0,24.0,8.0,4.0,10,2,49.0,60.9
2023-05-13,18:30,Série A,Matchweek 6,Sat,Home,D,1,1,Red Bull Bragantino,1.6,1.0,58,39488.0,Gustavo Gómez,4-2-3-1,4-3-3,Savio Pereira,Match Report,,2023,brasileirao,24,2023 Palmeiras,22,6,27.3,0.05,0.17,17.3,3,2,66.7,0.3,-0.7,388.0,503.0,77.1,8369.0,3301.0,1,1.2,0.6,2.0,46.0,15.0,34.0,6.0,33,2.0,15.0,39.0,1.0,19.0,14,12.0,2.0,4.0,11,13.0,0.0,161.0,30.0,18.0,16.0,7.0,12,3,53.0,54.3
2023-05-20,21:00,Série A,Matchweek 7,Sat,Away,D,0,0,Santos,0.4,0.4,61,12641.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2023,brasileirao,24,2023 Palmeiras,11,1,9.1,0.0,0.0,24.4,4,4,100.0,0.9,0.9,495.0,607.0,81.5,8920.0,2832.0,0,0.3,0.3,0.0,49.0,10.0,43.0,0.0,17,1.0,4.0,20.0,0.0,12.0,4,5.0,1.0,15.0,12,9.0,0.0,163.0,23.0,25.0,23.0,12.0,11,3,57.0,42.3
