Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Gerson,br BRA,MF,22.0,34,33,2786.0,31.0,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,3.2,3.2,3.4,6.6,85.0,252.0,127.0,0.03,0.1,0.13,0.03,0.13,0.1,0.11,0.21,0.1,0.21,Matches,flamengo,2020
Filipe Luís,br BRA,DF,34.0,31,31,2731.0,30.3,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,1.5,1.5,5.0,6.6,128.0,280.0,160.0,0.07,0.07,0.13,0.07,0.13,0.05,0.17,0.22,0.05,0.22,Matches,flamengo,2020
Everton Ribeiro,br BRA,"MF,FW",30.0,33,31,2633.0,29.3,7.0,6.0,13.0,7.0,0.0,0.0,5.0,0.0,6.0,6.0,7.8,13.8,103.0,222.0,232.0,0.24,0.21,0.44,0.24,0.44,0.21,0.27,0.47,0.21,0.47,Matches,flamengo,2020
Bruno Henrique,br BRA,FW,29.0,31,30,2575.0,28.6,9.0,7.0,16.0,8.0,1.0,2.0,11.0,0.0,13.3,11.8,7.9,19.6,143.0,91.0,334.0,0.31,0.24,0.56,0.28,0.52,0.47,0.28,0.74,0.41,0.69,Matches,flamengo,2020
Willian Arão,br BRA,"MF,DF",27.0,32,29,2629.0,29.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,1.7,2.8,10.0,195.0,15.0,0.03,0.03,0.07,0.03,0.07,0.04,0.06,0.1,0.04,0.1,Matches,flamengo,2020
Mauricio Isla,cl CHI,DF,31.0,29,28,2361.0,26.2,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.5,0.5,6.3,6.8,24.0,132.0,225.0,0.08,0.19,0.27,0.08,0.27,0.02,0.24,0.26,0.02,0.26,Matches,flamengo,2020
Giorgian De Arrascaeta,uy URU,"MF,FW",25.0,28,26,2206.0,24.5,8.0,9.0,17.0,8.0,0.0,0.0,0.0,0.0,8.5,8.5,9.8,18.3,83.0,173.0,242.0,0.33,0.37,0.69,0.33,0.69,0.35,0.4,0.75,0.35,0.75,Matches,flamengo,2020
Gustavo Henrique,br BRA,DF,26.0,25,23,1950.0,21.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,1.0,1.9,1.9,0.6,2.4,4.0,64.0,3.0,0.09,0.05,0.14,0.09,0.14,0.09,0.03,0.11,0.09,0.11,Matches,flamengo,2020
Hugo Souza,br BRA,GK,21.0,23,22,2009.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,flamengo,2020
Gabriel Barbosa,br BRA,FW,23.0,25,22,1758.0,19.5,14.0,2.0,16.0,8.0,6.0,6.0,3.0,1.0,16.7,12.4,2.2,14.6,40.0,48.0,169.0,0.72,0.1,0.82,0.41,0.51,0.85,0.11,0.97,0.64,0.75,Matches,flamengo,2020
Rodrigo Caio,br BRA,DF,26.0,20,20,1683.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.8,1.4,19.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,flamengo,2020
Pedro,br BRA,FW,22.0,34,15,1591.0,17.7,13.0,2.0,15.0,13.0,0.0,2.0,2.0,0.0,13.0,11.4,3.5,14.8,19.0,34.0,109.0,0.74,0.11,0.85,0.74,0.85,0.73,0.2,0.93,0.64,0.84,Matches,flamengo,2020
Diego,br BRA,MF,34.0,26,14,1259.0,14.0,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.9,1.9,1.3,3.2,48.0,144.0,45.0,0.07,0.21,0.29,0.07,0.29,0.14,0.09,0.23,0.14,0.23,Matches,flamengo,2020
Thiago Maia,br BRA,MF,22.0,14,13,1063.0,11.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.8,1.0,21.0,99.0,48.0,0.0,0.08,0.08,0.0,0.08,0.02,0.06,0.08,0.02,0.08,Matches,flamengo,2020
Natan,br BRA,DF,18.0,14,12,1131.0,12.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.2,2.2,0.2,2.4,11.0,54.0,2.0,0.08,0.0,0.08,0.08,0.08,0.18,0.01,0.19,0.18,0.19,Matches,flamengo,2020
Léo Pereira,br BRA,DF,24.0,13,11,982.0,10.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.5,13.0,58.0,1.0,0.09,0.0,0.09,0.09,0.09,0.04,0.0,0.04,0.04,0.04,Matches,flamengo,2020
Diego Alves,br BRA,GK,34.0,10,10,836.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,flamengo,2020
