Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,team_name,season
Lucas Arcanjo,br BRA,GK,24.0,36,36,3195.0,35.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,vitoria,2023
Wagner,br BRA,DF,23.0,35,35,3130.0,34.8,5.0,0.0,5.0,5.0,0.0,0.0,6.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,vitoria,2023
Camutanga,br BRA,DF,29.0,33,33,2720.0,30.2,2.0,1.0,3.0,2.0,0.0,0.0,10.0,1.0,0.07,0.03,0.1,0.07,0.1,Matches,vitoria,2023
Osvaldo,br BRA,"MF,FW",35.0,31,29,2351.0,26.1,5.0,9.0,14.0,5.0,0.0,0.0,0.0,0.0,0.19,0.34,0.54,0.19,0.54,Matches,vitoria,2023
Rodrigo Andrade,br BRA,MF,25.0,25,23,2016.0,22.4,2.0,2.0,4.0,2.0,0.0,0.0,10.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,vitoria,2023
Zeca,br BRA,"DF,MF",28.0,26,22,1990.0,22.1,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,vitoria,2023
Matheusinho,br BRA,"MF,FW",25.0,26,20,1756.0,19.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,vitoria,2023
Léo Gamalho,br BRA,FW,37.0,23,20,1604.0,17.8,10.0,0.0,10.0,6.0,4.0,4.0,3.0,0.0,0.56,0.0,0.56,0.34,0.34,Matches,vitoria,2023
Dudu,br BRA,MF,23.0,20,19,1660.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,vitoria,2023
Marcelo,br BRA,"DF,MF",24.0,19,16,1335.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Railan,br BRA,"DF,MF",22.0,24,15,1332.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,vitoria,2023
Mateus Gonçalves Martins,br BRA,"MF,FW",28.0,19,14,1188.0,13.2,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,vitoria,2023
Wellington Nem,br BRA,"MF,FW",30.0,25,12,1314.0,14.6,2.0,4.0,6.0,2.0,0.0,0.0,5.0,1.0,0.14,0.27,0.41,0.14,0.41,Matches,vitoria,2023
José Hugo,br BRA,MF,23.0,34,12,1290.0,14.3,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.21,0.07,0.28,0.21,0.28,Matches,vitoria,2023
Iury de Castilho,br BRA,"MF,FW",27.0,15,12,1027.0,11.4,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,vitoria,2023
Yan Souto,br BRA,DF,21.0,14,11,901.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Giovanni Augusto,br BRA,MF,33.0,20,10,869.0,9.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,vitoria,2023
Felipe,br BRA,"MF,DF",23.0,14,10,837.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Gegê,br BRA,MF,29.0,28,9,1064.0,11.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.17,0.08,0.25,0.17,0.25,Matches,vitoria,2023
João Victor,br BRA,DF,25.0,16,9,979.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Matheus Trindade Gonçalves,br BRA,"MF,DF",26.0,12,8,617.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,vitoria,2023
Welder,br BRA,FW,28.0,20,7,724.0,8.0,4.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.37,0.37,Matches,vitoria,2023
Marco Carvalho,br BRA,MF,22.0,12,7,634.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Leo Gomes,br BRA,MF,25.0,13,7,506.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,vitoria,2023
Santiago Tréllez,co COL,FW,33.0,13,6,624.0,6.9,4.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.58,0.14,0.72,0.43,0.58,Matches,vitoria,2023
Edson Lucas,br BRA,DF,22.0,8,6,560.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,vitoria,2023
Thiago Lopes,br BRA,"MF,FW",26.0,13,4,421.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Rafinha,br BRA,"MF,FW",30.0,7,2,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Thiago Rodrigues,br BRA,GK,34.0,2,2,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Diego Fumaca,br BRA,MF,28.0,5,1,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Jhonny Lucas,br BRA,MF,22.0,5,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Pablo Diogo,br BRA,"DF,FW",30.0,6,0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Diego Fabián Torres,ar ARG,MF,32.0,5,0,69.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1.3,Matches,vitoria,2023
Dalton,br BRA,GK,36.0,2,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Dionisio John John,br BRA,MF,28.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,vitoria,2023
Felippe Borges,br BRA,DF,23.0,0,0,,,,,,,,,,,,,,,,Matches,vitoria,2023
Charlys,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches,vitoria,2023
Nicolás Dibble,uy URU,FW,28.0,0,0,,,,,,,,,,,,,,,,Matches,vitoria,2023
Alan Pedro,br BRA,FW,20.0,0,0,,,,,,,,,,,,,,,,Matches,vitoria,2023
Fábio Soares,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches,vitoria,2023
Squad Total,,,27.2,38,418,3420.0,38.0,48.0,33.0,81.0,42.0,6.0,6.0,98.0,3.0,1.26,0.87,2.13,1.11,1.97,,vitoria,2023
Opponent Total,,,27.7,38,418,3420.0,38.0,30.0,24.0,54.0,30.0,0.0,0.0,116.0,5.0,0.79,0.63,1.42,0.79,1.42,,vitoria,2023
Danilo Boza,br BRA,DF,24.0,38,38,3388.0,37.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,juventude,2023
Thiago,br BRA,GK,23.0,34,34,3005.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Jadson,br BRA,MF,29.0,34,33,2751.0,30.6,2.0,1.0,3.0,2.0,0.0,0.0,10.0,2.0,0.07,0.03,0.1,0.07,0.1,Matches,juventude,2023
Reginaldo,br BRA,"DF,MF",29.0,33,32,2672.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Alan Ruschel,br BRA,DF,33.0,32,29,2484.0,27.6,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.11,0.04,0.14,0.11,0.14,Matches,juventude,2023
Nenê,br BRA,"FW,MF",41.0,28,27,2190.0,24.3,7.0,7.0,14.0,6.0,1.0,2.0,8.0,0.0,0.29,0.29,0.58,0.25,0.53,Matches,juventude,2023
David,br BRA,"MF,FW",23.0,30,27,2021.0,22.5,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,0.18,0.22,0.4,0.18,0.4,Matches,juventude,2023
Zé Marcos,br BRA,DF,24.0,29,26,2363.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Vini Paulista,br BRA,MF,21.0,28,23,1942.0,21.6,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.05,0.14,0.19,0.05,0.19,Matches,juventude,2023
Jean,br BRA,MF,28.0,26,22,1649.0,18.3,2.0,1.0,3.0,2.0,0.0,0.0,12.0,0.0,0.11,0.05,0.16,0.11,0.16,Matches,juventude,2023
Rodrigo Rodrigues,br BRA,FW,26.0,20,20,1727.0,19.2,6.0,3.0,9.0,4.0,2.0,2.0,3.0,0.0,0.31,0.16,0.47,0.21,0.36,Matches,juventude,2023
Luis Mandaca,br BRA,MF,21.0,23,13,1149.0,12.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,juventude,2023
Gabriel Taliari,br BRA,FW,25.0,11,11,971.0,10.8,6.0,0.0,6.0,3.0,3.0,3.0,5.0,0.0,0.56,0.0,0.56,0.28,0.28,Matches,juventude,2023
Romércio,br BRA,DF,25.0,10,9,788.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Dani Bolt,br BRA,"DF,MF",23.0,15,8,805.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Kelvyn,br BRA,"DF,MF",23.0,16,7,868.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Matheus de Vargas,br BRA,"MF,FW",26.0,17,7,696.0,7.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,juventude,2023
Erick,br BRA,FW,26.0,13,7,633.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches,juventude,2023
Tite,br BRA,"FW,MF",21.0,13,7,567.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Luiz Gustavo,br BRA,DF,28.0,8,5,470.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Victor Andrade,br BRA,"MF,FW",27.0,11,5,454.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Léo,br BRA,GK,32.0,5,4,415.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Guilherme Gehring,br BRA,MF,17.0,12,4,402.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches,juventude,2023
Romário,br BRA,"DF,MF",30.0,5,4,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
Daniel Cruz,br BRA,"FW,MF",21.0,10,4,313.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches,juventude,2023
Ruan,br BRA,MF,17.0,33,2,885.0,9.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.2,0.1,0.31,0.2,0.31,Matches,juventude,2023
Émerson Santos,br BRA,MF,30.0,8,2,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,juventude,2023
