Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Manuel Neuer,de GER,GK,34.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,bayern_munich,2020-2021
Thomas Müller,de GER,MF,30.0,32,31,2674.0,29.7,11.0,19.0,30.0,10.0,1.0,1.0,0.0,0.0,8.2,7.4,10.0,17.4,51.0,151.0,325.0,0.37,0.64,1.01,0.34,0.98,0.27,0.34,0.61,0.25,0.59,Matches,bayern_munich,2020-2021
David Alaba,at AUT,"DF,MF",28.0,32,30,2675.0,29.7,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,2.1,3.3,56.0,242.0,70.0,0.07,0.13,0.2,0.07,0.2,0.04,0.07,0.11,0.04,0.11,Matches,bayern_munich,2020-2021
Jérôme Boateng,de GER,DF,31.0,29,29,2368.0,26.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.5,0.9,8.0,184.0,7.0,0.04,0.04,0.08,0.04,0.08,0.01,0.02,0.03,0.01,0.03,Matches,bayern_munich,2020-2021
Robert Lewandowski,pl POL,FW,31.0,29,28,2458.0,27.3,41.0,7.0,48.0,33.0,8.0,9.0,4.0,0.0,31.3,24.2,4.7,28.8,51.0,67.0,185.0,1.5,0.26,1.76,1.21,1.46,1.14,0.17,1.31,0.88,1.06,Matches,bayern_munich,2020-2021
Joshua Kimmich,de GER,MF,25.0,27,25,2194.0,24.4,4.0,10.0,14.0,4.0,0.0,0.0,4.0,0.0,2.3,2.3,6.7,9.1,54.0,288.0,66.0,0.16,0.41,0.57,0.16,0.57,0.1,0.28,0.37,0.1,0.37,Matches,bayern_munich,2020-2021
Kingsley Coman,fr FRA,"FW,MF",24.0,29,23,1752.0,19.5,5.0,10.0,15.0,5.0,0.0,0.0,1.0,0.0,4.2,4.2,6.4,10.6,103.0,76.0,268.0,0.26,0.51,0.77,0.26,0.77,0.21,0.33,0.55,0.21,0.55,Matches,bayern_munich,2020-2021
Benjamin Pavard,fr FRA,DF,24.0,24,22,1943.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.3,1.7,49.0,162.0,167.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches,bayern_munich,2020-2021
Alphonso Davies,ca CAN,DF,19.0,23,22,1763.0,19.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.2,0.2,1.9,2.1,80.0,123.0,131.0,0.05,0.1,0.15,0.05,0.15,0.01,0.1,0.11,0.01,0.11,Matches,bayern_munich,2020-2021
Serge Gnabry,de GER,"FW,MF",25.0,27,20,1644.0,18.3,10.0,2.0,12.0,10.0,0.0,0.0,4.0,0.0,8.0,8.0,6.0,14.1,82.0,93.0,216.0,0.55,0.11,0.66,0.55,0.66,0.44,0.33,0.77,0.44,0.77,Matches,bayern_munich,2020-2021
