season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Lionel Messi,ar ARG,"FW,MF",27.0,38.0,37.0,3375.0,37.5,43.0,18.0,61.0,38.0,5.0,6.0,4.0,0.0,1.15,0.48,1.63,1.01,1.49,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Claudio Bravo,cl CHI,GK,31.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Neymar,br BRA,"FW,MF",22.0,33.0,29.0,2562.0,28.5,22.0,7.0,29.0,21.0,1.0,1.0,6.0,0.0,0.77,0.25,1.02,0.74,0.98,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Dani Alves,br BRA,"DF,MF",31.0,30.0,29.0,2517.0,28.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.21,0.21,0.0,0.21,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Sergio Busquets,es ESP,MF,26.0,33.0,29.0,2475.0,27.5,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Jordi Alba,es ESP,"DF,MF",25.0,27.0,27.0,2329.0,25.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.04,0.12,0.15,0.04,0.15,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Gerard Piqué,es ESP,DF,27.0,27.0,26.0,2385.0,26.5,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,0.19,0.04,0.23,0.19,0.23,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Javier Mascherano,ar ARG,"DF,MF",30.0,28.0,26.0,2205.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Luis Suárez,uy URU,FW,27.0,27.0,25.0,2159.0,24.0,16.0,13.0,29.0,16.0,0.0,0.0,4.0,0.0,0.67,0.54,1.21,0.67,1.21,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Jérémy Mathieu,fr FRA,DF,30.0,28.0,23.0,2106.0,23.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Ivan Rakitić,hr CRO,MF,26.0,32.0,23.0,2030.0,22.6,5.0,8.0,13.0,5.0,0.0,0.0,1.0,0.0,0.22,0.35,0.58,0.22,0.58,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Xavi,es ESP,MF,34.0,31.0,19.0,1785.0,19.8,2.0,9.0,11.0,2.0,0.0,0.0,1.0,0.0,0.1,0.45,0.55,0.1,0.55,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Andrés Iniesta,es ESP,MF,30.0,24.0,19.0,1574.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Pedro,es ESP,"FW,MF",27.0,35.0,15.0,1555.0,17.3,6.0,6.0,12.0,6.0,0.0,0.0,3.0,0.0,0.35,0.35,0.69,0.35,0.69,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
2014-2015,Rafinha,br BRA,MF,21.0,24.0,13.0,1157.0,12.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,la_liga,12,barcelona,206d90db,,,,,,,,,,,,
