season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-2015,2014-08-02,20:00,Trophée des Champions,Trophée des Champions,Sat,Neutral,W,2,0,Guingamp,,39752.0,,,Clément Turpin,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-08,20:30,Ligue 1,Matchweek 1,Fri,Away,D,2,2,Reims,65.0,18540.0,Thiago Silva,4-3-3,Stéphane Lannoy,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-16,17:00,Ligue 1,Matchweek 2,Sat,Home,W,2,0,Bastia,66.0,45258.0,Zlatan Ibrahimović,4-3-3,Amaury Delerue,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-22,20:30,Ligue 1,Matchweek 3,Fri,Away,D,0,0,Evian,69.0,14600.0,Blaise Matuidi,4-3-3,Benoît Bastien,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-08-31,21:00,Ligue 1,Matchweek 4,Sun,Home,W,5,0,Saint-Étienne,62.0,46088.0,Zlatan Ibrahimović,4-3-3,Clément Turpin,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-13,17:00,Ligue 1,Matchweek 5,Sat,Away,D,1,1,Rennes,60.0,27194.0,Zlatan Ibrahimović,4-3-3,Antony Gautier,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-17,20:45,Champions Lg,Group stage,Wed,Away,D,1,1,nl Ajax,46.0,50430.0,,4-3-3,Wolfgang Stark,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-21,21:00,Ligue 1,Matchweek 6,Sun,Home,D,1,1,Lyon,62.0,45428.0,Zlatan Ibrahimović,4-3-3,Ruddy Buquet,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-24,21:00,Ligue 1,Matchweek 7,Wed,Away,W,2,0,Caen,63.0,19988.0,Thiago Motta,4-3-3,Wilfried Bien,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2014-09-27,17:00,Ligue 1,Matchweek 8,Sat,Away,D,1,1,Toulouse,61.0,20761.0,Blaise Matuidi,4-1-2-1-2◆,Tony Chapron,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
