season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Salvatore Sirigu,it ITA,GK,27.0,34.0,34.0,3002.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Javier Pastore,ar ARG,MF,25.0,34.0,31.0,2746.0,30.5,5.0,12.0,17.0,5.0,0.0,0.0,4.0,0.0,0.16,0.39,0.56,0.16,0.56,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Edinson Cavani,uy URU,"FW,MF",27.0,35.0,30.0,2628.0,29.2,18.0,1.0,19.0,15.0,3.0,3.0,3.0,1.0,0.62,0.03,0.65,0.51,0.55,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Marco Verratti,it ITA,MF,21.0,32.0,28.0,2454.0,27.3,2.0,8.0,10.0,2.0,0.0,0.0,12.0,0.0,0.07,0.29,0.37,0.07,0.37,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Thiago Silva,br BRA,DF,29.0,26.0,26.0,2308.0,25.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,David Luiz,br BRA,"DF,MF",27.0,28.0,26.0,2290.0,25.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Blaise Matuidi,fr FRA,MF,27.0,34.0,25.0,2187.0,24.3,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,0.16,0.08,0.25,0.16,0.25,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Thiago Motta,it ITA,MF,31.0,27.0,25.0,2050.0,22.8,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Maxwell,br BRA,DF,32.0,26.0,24.0,2164.0,24.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.12,0.12,0.25,0.12,0.25,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
2014-2015,Zlatan Ibrahimović,se SWE,FW,32.0,24.0,23.0,2002.0,22.2,19.0,6.0,25.0,11.0,8.0,9.0,3.0,0.0,0.85,0.27,1.12,0.49,0.76,Matches,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,
