Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2019-08-04,15:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (4),1 (5),Manchester City,,,53.0,77565.0,Jordan Henderson,4-3-3,4-3-3,Martin Atkinson,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,17.0,9.0,52.9,0.06,0.11,,3.0,2.0,66.7,,,,,,,,1,,,,,,,,20.0,,,,,,11.0,,,,4.0,,,,,,,,4.0,1.0,,
2019-08-09,20:00,Premier League,Matchweek 1,Fri,Home,W,4,1,Norwich City,1.8,0.9,57.0,53333.0,Jordan Henderson,4-3-3,4-2-3-1,Michael Oliver,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,15.0,7.0,46.7,0.2,0.43,17.1,5.0,4.0,66.7,1.3,0.1,410.0,528.0,77.7,7145.0,2296.0,3,1.6,1.4,4.0,54.0,12.0,33.0,2.0,32.0,0.0,11.0,25.0,5.0,21.0,13.0,9.0,2.0,11.0,14.0,6.0,1.0,209.0,32.0,19.0,14.0,8.0,9.0,0.0,54.0,68.2
2019-08-14,22:00,Super Cup,UEFA Super Cup,Wed,Home,D,2 (5),2 (4),eng Chelsea,,,53.0,38434.0,Jordan Henderson,4-3-3,4-3-3,Stéphanie Frappart,Match Report,Liverpool won on penalty kicks following extra time,2019-2020,premier_league,9,2019-2020 Liverpool,21.0,11.0,52.4,0.1,0.18,,6.0,4.0,66.7,,,,,,,,1,,,,,,,,23.0,,,,,,20.0,,,,16.0,,,,,,,,10.0,2.0,,
2019-08-17,15:00,Premier League,Matchweek 2,Sat,Away,W,2,1,Southampton,1.3,1.9,63.0,31712.0,James Milner,4-3-3,3-5-2,Andre Marriner,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,15.0,6.0,40.0,0.13,0.33,18.6,3.0,2.0,66.7,0.3,-0.7,450.0,590.0,76.3,8357.0,2741.0,2,1.2,0.6,2.0,36.0,12.0,32.0,9.0,24.0,4.0,9.0,26.0,4.0,7.0,2.0,2.0,1.0,9.0,10.0,30.0,2.0,160.0,24.0,14.0,15.0,7.0,6.0,1.0,52.0,55.9
2019-08-24,17:30,Premier League,Matchweek 3,Sat,Home,W,3,1,Arsenal,2.5,1.0,52.0,53298.0,Jordan Henderson,4-3-3,4-3-1-2,Anthony Taylor,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,24.0,4.0,16.7,0.08,0.5,18.8,3.0,2.0,66.7,0.6,-0.4,502.0,604.0,83.1,8579.0,2843.0,2,1.5,1.5,2.0,64.0,19.0,46.0,7.0,27.0,1.0,6.0,46.0,6.0,25.0,17.0,3.0,10.0,7.0,9.0,14.0,2.0,326.0,38.0,36.0,16.0,10.0,8.0,1.0,54.0,38.9
2019-08-31,17:30,Premier League,Matchweek 4,Sat,Away,W,3,0,Burnley,1.0,0.9,63.0,21762.0,Jordan Henderson,4-3-3,4-4-2,Chris Kavanagh,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,15.0,7.0,46.7,0.13,0.29,21.0,2.0,2.0,100.0,1.0,1.0,469.0,617.0,76.0,8209.0,2747.0,2,0.8,0.6,0.0,52.0,12.0,30.0,5.0,18.0,2.0,4.0,27.0,3.0,11.0,6.0,4.0,3.0,8.0,9.0,20.0,1.0,151.0,28.0,19.0,12.0,6.0,16.0,1.0,61.0,52.3
2019-09-14,12:30,Premier League,Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,3.0,0.3,74.0,51430.0,Virgil van Dijk,4-3-3,5-4-1,Andre Marriner,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,21.0,8.0,38.1,0.14,0.38,13.6,1.0,0.0,0.0,0.3,-0.7,791.0,900.0,87.9,13568.0,3730.0,2,2.1,2.0,3.0,79.0,19.0,66.0,10.0,34.0,2.0,10.0,38.0,5.0,13.0,11.0,1.0,3.0,8.0,8.0,8.0,0.0,315.0,22.0,34.0,20.0,12.0,5.0,2.0,65.0,65.8
2019-09-17,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,it Napoli,0.7,1.8,52.0,38878.0,Jordan Henderson,4-3-3,4-4-2,Felix Brych,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,13.0,4.0,30.8,0.0,0.0,18.0,5.0,3.0,80.0,2.5,0.5,514.0,613.0,83.8,9153.0,2883.0,0,0.7,0.8,3.0,49.0,11.0,48.0,7.0,13.0,2.0,6.0,23.0,0.0,24.0,19.0,9.0,2.0,11.0,9.0,17.0,1.0,180.0,14.0,13.0,12.0,6.0,10.0,1.0,57.0,42.9
2019-09-22,16:30,Premier League,Matchweek 6,Sun,Away,W,2,1,Chelsea,0.6,1.3,45.0,40638.0,Jordan Henderson,4-3-3,4-3-3,Michael Oliver,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,6.0,3.0,50.0,0.33,0.67,13.9,2.0,1.0,50.0,1.1,0.1,334.0,458.0,72.9,5737.0,2275.0,2,0.6,1.0,3.0,34.0,6.0,28.0,7.0,10.0,1.0,4.0,11.0,4.0,11.0,5.0,2.0,1.0,8.0,12.0,40.0,0.0,132.0,9.0,3.0,14.0,13.0,13.0,1.0,60.0,47.4
2019-09-25,19:45,EFL Cup,Third round,Wed,Away,W,2,0,MK Dons,,,78.0,28521.0,James Milner,4-3-3,3-5-2,Oliver Langford,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,19.0,6.0,31.6,0.11,0.33,,2.0,2.0,100.0,,,,,,,,1,,,,,,,,19.0,,,,,,7.0,,,,3.0,,,,,,,,7.0,2.0,,
