Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Virgil van Dijk,nl NED,DF,28.0,38,38,3420.0,38.0,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,2.9,2.9,1.3,4.2,21.0,170.0,14.0,0.13,0.03,0.16,0.13,0.16,0.08,0.04,0.11,0.08,0.11,Matches,liverpool,2019-2020
Trent Alexander-Arnold,eng ENG,DF,20.0,38,35,3175.0,35.3,4.0,13.0,17.0,4.0,0.0,0.0,5.0,0.0,2.8,2.8,10.9,13.7,98.0,247.0,226.0,0.11,0.37,0.48,0.11,0.48,0.08,0.31,0.39,0.08,0.39,Matches,liverpool,2019-2020
Georginio Wijnaldum,nl NED,MF,28.0,37,35,2935.0,32.6,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.6,2.6,0.8,3.3,74.0,137.0,99.0,0.12,0.0,0.12,0.12,0.12,0.08,0.02,0.1,0.08,0.1,Matches,liverpool,2019-2020
Andrew Robertson,sct SCO,DF,25.0,36,34,3111.0,34.6,2.0,12.0,14.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,7.5,9.3,149.0,219.0,277.0,0.06,0.35,0.41,0.06,0.41,0.05,0.22,0.27,0.05,0.27,Matches,liverpool,2019-2020
Roberto Firmino,br BRA,FW,27.0,38,34,2988.0,33.2,9.0,8.0,17.0,9.0,0.0,0.0,0.0,0.0,14.0,14.0,6.5,20.5,90.0,111.0,218.0,0.27,0.24,0.51,0.27,0.51,0.42,0.2,0.62,0.42,0.62,Matches,liverpool,2019-2020
Mohamed Salah,eg EGY,FW,27.0,34,33,2876.0,32.0,19.0,10.0,29.0,16.0,3.0,3.0,1.0,0.0,19.0,16.6,7.8,24.5,105.0,91.0,347.0,0.59,0.31,0.91,0.5,0.81,0.59,0.25,0.84,0.52,0.77,Matches,liverpool,2019-2020
Sadio Mané,sn SEN,FW,27.0,35,31,2747.0,30.5,18.0,7.0,25.0,18.0,0.0,0.0,3.0,0.0,13.2,13.2,6.6,19.8,159.0,128.0,286.0,0.59,0.23,0.82,0.59,0.82,0.43,0.22,0.65,0.43,0.65,Matches,liverpool,2019-2020
Alisson,br BRA,GK,26.0,29,29,2543.0,28.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.01,0.01,0.0,0.01,Matches,liverpool,2019-2020
Jordan Henderson,eng ENG,MF,29.0,30,26,2238.0,24.9,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,1.1,1.1,3.1,4.2,51.0,197.0,77.0,0.16,0.2,0.36,0.16,0.36,0.04,0.13,0.17,0.04,0.17,Matches,liverpool,2019-2020
Fabinho,br BRA,MF,25.0,28,22,2079.0,23.1,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.4,0.4,1.6,2.1,19.0,129.0,23.0,0.09,0.13,0.22,0.09,0.22,0.02,0.07,0.09,0.02,0.09,Matches,liverpool,2019-2020
Joe Gomez,eng ENG,DF,22.0,28,22,2004.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.2,0.2,17.0,115.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,liverpool,2019-2020
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",25.0,30,17,1485.0,16.5,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,2.8,2.8,1.1,3.9,48.0,97.0,95.0,0.24,0.06,0.3,0.24,0.3,0.17,0.06,0.24,0.17,0.24,Matches,liverpool,2019-2020
