season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Leonardo Bonucci,it ITA,DF,27.0,34.0,33.0,3015.0,33.5,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Gianluigi Buffon,it ITA,GK,36.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Claudio Marchisio,it ITA,MF,28.0,35.0,33.0,2860.0,31.8,3.0,6.0,9.0,2.0,1.0,1.0,9.0,0.0,0.09,0.19,0.28,0.06,0.25,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Carlos Tevez,ar ARG,"FW,MF",30.0,32.0,29.0,2580.0,28.7,20.0,7.0,27.0,18.0,2.0,4.0,6.0,0.0,0.7,0.24,0.94,0.63,0.87,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Giorgio Chiellini,it ITA,DF,29.0,28.0,27.0,2448.0,27.2,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Roberto Pereyra,ar ARG,"DF,FW",23.0,35.0,27.0,2265.0,25.2,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.16,0.12,0.28,0.16,0.28,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Stephan Lichtsteiner,ch SUI,"DF,MF",30.0,32.0,26.0,2450.0,27.2,3.0,5.0,8.0,3.0,0.0,0.0,9.0,1.0,0.11,0.18,0.29,0.11,0.29,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Fernando Llorente,es ESP,FW,29.0,31.0,25.0,1947.0,21.6,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.32,0.05,0.37,0.32,0.37,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Paul Pogba,fr FRA,MF,21.0,26.0,24.0,2108.0,23.4,8.0,3.0,11.0,8.0,0.0,0.0,4.0,0.0,0.34,0.13,0.47,0.34,0.47,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Arturo Vidal,cl CHI,MF,27.0,28.0,23.0,2082.0,23.1,7.0,4.0,11.0,5.0,2.0,3.0,7.0,0.0,0.3,0.17,0.48,0.22,0.39,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Patrice Evra,fr FRA,DF,33.0,21.0,21.0,1792.0,19.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Andrea Pirlo,it ITA,MF,35.0,20.0,19.0,1604.0,17.8,4.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,0.22,0.28,0.5,0.22,0.5,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Angelo Ogbonna,it ITA,DF,26.0,25.0,18.0,1760.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Simone Padoin,it ITA,"DF,MF",30.0,25.0,14.0,1352.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Álvaro Morata,es ESP,FW,21.0,29.0,11.0,1333.0,14.8,8.0,5.0,13.0,8.0,0.0,0.0,6.0,1.0,0.54,0.34,0.88,0.54,0.88,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Martín Cáceres,uy URU,DF,27.0,10.0,10.0,787.0,8.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
2014-2015,Andrea Barzagli,it ITA,DF,33.0,10.0,9.0,770.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,juventus,e0652b02,,,,,,,,,,,,
